ticker,QD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-18,21.5833
2017-10-19,19.6025
2017-10-20,-5.4441
2017-10-23,-19.4242
2017-10-24,6.9951
2017-10-25,-7.2408
2017-10-26,-13.6036
2017-10-27,2.0614
2017-10-30,-4.6411999999999995
2017-10-31,12.2127
2017-11-01,8.6345
2017-11-02,-6.5804
2017-11-03,-0.9893
2017-11-06,8.3133
2017-11-07,1.5497999999999998
2017-11-08,-5.4869
2017-11-09,-2.0761
2017-11-10,8.0094
2017-11-13,-1.0178
2017-11-14,-7.6019
2017-11-15,-0.7154
2017-11-16,-6.6853
2017-11-17,-9.0519
2017-11-20,-5.283
2017-11-21,-3.8346999999999998
2017-11-22,-16.3646
2017-11-24,-24.3344
2017-11-27,10.5565
2017-11-28,1.8505
2017-11-29,2.6163
2017-11-30,-3.6827
2017-12-01,1.3235000000000001
2017-12-04,-9.6517
2017-12-05,-4.8193
2017-12-06,-3.038
2017-12-07,2.9591
2017-12-08,15.3846
2017-12-11,2.9304
2017-12-12,-6.121
2017-12-13,5.9894
2017-12-14,-8.9413
2017-12-15,1.5711
2017-12-18,2.6295
2017-12-19,-3.0897
2017-12-20,-3.2659000000000002
2017-12-21,0.8039
2017-12-22,4.2265
2017-12-26,-5.5088
2017-12-27,0.7287
2017-12-28,-0.2412
2017-12-29,1.0475
2018-01-02,0.319
2018-01-03,-0.6359
2018-01-04,-3.6
2018-01-05,7.8838
2018-01-08,-1.3077
2018-01-09,-4.3648
2018-01-10,-2.3635
2018-01-11,1.6694
2018-01-12,-1.4778
2018-01-16,2.5833
2018-01-17,-0.9748
2018-01-18,1.3126
2018-01-19,0.4049
2018-01-22,1.9355
2018-01-23,3.2437
2018-01-24,6.9732
2018-01-25,3.6532999999999998
2018-01-26,-7.8093
2018-01-29,3.2234
2018-01-30,1.0893
2018-01-31,0.5029
2018-02-01,1.5726
2018-02-02,-3.026
2018-02-05,-3.1205
2018-02-06,-0.6742
2018-02-07,-1.6591
2018-02-08,-0.3067
2018-02-09,0.3077
2018-02-12,1.9172
2018-02-13,4.8909
2018-02-14,4.4475999999999996
2018-02-15,-3.8462
2018-02-16,0.7857
2018-02-20,-0.6378
2018-02-21,-0.2853
2018-02-22,0.0
2018-02-23,1.216
2018-02-26,0.4947
2018-02-27,-2.4613
2018-02-28,-1.5862
2018-03-01,2.0513
2018-03-02,2.7997
2018-03-05,3.7011
2018-03-06,2.963
2018-03-07,4.1203
2018-03-08,5.9045
