ticker,NGM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-04,-8.125
2019-04-05,2.7211
2019-04-08,4.5695
2019-04-09,5.1298
2019-04-10,-2.2892
2019-04-11,-1.3564
2019-04-12,0.375
2019-04-15,-0.3736
2019-04-16,-2.125
2019-04-17,2.1711
2019-04-18,-3.4375
2019-04-22,1.2945
2019-04-23,3.5783
2019-04-24,-4.9969
2019-04-25,1.1039
2019-04-26,0.7707
2019-04-29,1.3384
2019-04-30,0.3145
2019-05-01,-0.1254
2019-05-02,0.1255
2019-05-03,-0.2508
2019-05-06,-6.4739
2019-05-07,-4.1667
2019-05-08,0.8415
2019-05-09,-0.5563
2019-05-10,-2.0979
2019-05-13,-3.2143
2019-05-14,-0.2214
2019-05-15,-1.2574
2019-05-16,-5.9176
2019-05-17,5.8917
2019-05-20,0.8271
2019-05-21,3.0574
2019-05-22,7.2359
2019-05-23,1.2146
2019-05-24,-0.3333
2019-05-28,0.0
2019-05-29,-0.3344
2019-05-30,-3.1544
2019-05-31,-2.0097
2019-06-03,-4.1726
2019-06-04,-3.5423999999999998
2019-06-05,4.5907
2019-06-06,-2.8529999999999998
2019-06-07,1.8824999999999998
2019-06-10,1.626
2019-06-11,0.0
2019-06-12,4.2182
2019-06-13,-4.5359
2019-06-14,0.3655
2019-06-17,1.2382
2019-06-18,-0.1439
2019-06-19,-0.9366
2019-06-20,1.0909
2019-06-21,-0.7194
2019-06-24,0.3623
2019-06-25,4.1155
2019-06-26,3.19
2019-06-27,-1.6129
2019-06-28,0.0
2019-07-01,-1.1612
2019-07-02,-0.5529
2019-07-03,-2.9882
2019-07-05,-1.5043
2019-07-08,-0.9455
2019-07-09,0.514
2019-07-10,1.7530999999999999
2019-07-11,0.1436
2019-07-12,-2.9391
2019-07-15,1.5510000000000002
2019-07-16,3.2727
2019-07-17,1.1972
2019-07-18,-1.8093
2019-07-19,-0.567
2019-07-22,-6.0584
2019-07-23,-0.6829
2019-07-24,3.1322
2019-07-25,-0.963
2019-07-26,1.3463
2019-07-29,1.1808
2019-07-30,1.7505
2019-07-31,0.8602
2019-08-01,-0.2843
2019-08-02,1.283
2019-08-05,-1.3371
2019-08-06,3.7803
2019-08-07,-4.5361
2019-08-08,1.9438
2019-08-09,-1.2711999999999999
2019-08-12,-3.4335
2019-08-13,10.592600000000001
2019-08-14,-1.2726
2019-08-15,3.7313
2019-08-16,-2.5507
2019-08-19,0.4027
2019-08-20,-0.0668
2019-08-21,5.1505
2019-08-22,11.3868
