ticker,HTHT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-26,13.6327
2010-03-29,5.9626
2010-03-30,-1.8982999999999999
2010-03-31,3.5244999999999997
2010-04-01,6.8091
2010-04-05,7.0
2010-04-06,-1.3435000000000001
2010-04-07,-0.8289
2010-04-08,-3.3433
2010-04-09,0.3088
2010-04-12,-0.3079
2010-04-13,-2.3471
2010-04-14,-4.8071
2010-04-15,3.5216
2010-04-16,-1.1553
2010-04-19,6.8182
2010-04-20,0.5471
2010-04-21,-3.0834
2010-04-22,1.9339
2010-04-23,1.3464
2010-04-26,-0.4227
2010-04-27,-1.4554
2010-04-28,-4.0
2010-04-29,-3.0128
2010-04-30,-0.2644
2010-05-03,0.0663
2010-05-04,-3.7086
2010-05-05,-3.0261
2010-05-06,-0.9929
2010-05-07,2.2923
2010-05-10,6.0924
2010-05-11,-2.4422
2010-05-12,-0.7442
2010-05-13,0.1363
2010-05-14,-0.1361
2010-05-17,2.1813
2010-05-18,0.4003
2010-05-19,-3.6545
2010-05-20,-0.6897
2010-05-21,-0.9028
2010-05-24,0.8409
2010-05-25,-1.3204
2010-05-26,-1.1972
2010-05-27,0.4989
2010-05-28,1.7021
2010-06-01,-0.3487
2010-06-02,-0.2099
2010-06-03,-1.0519
2010-06-04,0.7796
2010-06-07,-1.1955
2010-06-08,-1.0676
2010-06-09,1.295
2010-06-10,0.142
2010-06-11,-1.4184
2010-06-14,0.7194
2010-06-15,0.5714
2010-06-16,0.5682
2010-06-17,1.6242999999999999
2010-06-18,1.0424
2010-06-21,3.4388
2010-06-22,-0.3324
2010-06-23,2.6639
2010-06-24,3.9683
2010-06-25,0.3438
2010-06-28,-1.8997000000000002
2010-06-29,-2.7302
2010-06-30,-0.3264
2010-07-01,-0.3929
2010-07-02,-0.9862
2010-07-06,0.4648
2010-07-07,-1.4870999999999999
2010-07-08,-2.3818
2010-07-09,-0.3436
2010-07-12,5.1724
2010-07-13,-0.6557
2010-07-14,-0.33
2010-07-15,0.0
2010-07-16,-1.7219
2010-07-19,-0.1348
2010-07-20,2.7664999999999997
2010-07-21,0.4596
2010-07-22,1.9607999999999999
2010-07-23,0.9615
2010-07-26,1.9683000000000002
2010-07-27,2.1171
2010-07-28,4.1463
2010-07-29,2.9859
2010-07-30,5.1734
2010-08-02,2.7027
2010-08-03,0.3684
2010-08-04,0.5244
2010-08-05,2.5561
2010-08-06,8.0366
2010-08-09,-1.3653
2010-08-10,-8.3532
2010-08-11,-7.2396
