ticker,JKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-14,0.0909
2010-05-17,-2.4523
2010-05-18,-4.5624
2010-05-19,-4.9756
2010-05-20,-13.0903
2010-05-21,6.3283
2010-05-24,1.1034
2010-05-25,-0.5495
2010-05-26,4.1989
2010-05-27,8.1654
2010-05-28,2.451
2010-06-01,-1.0526
2010-06-02,-4.1586
2010-06-03,-1.7154
2010-06-04,-0.924
2010-06-07,-2.0725
2010-06-08,-6.8783
2010-06-09,-2.1591
2010-06-10,4.878
2010-06-11,6.866
2010-06-14,4.9741
2010-06-15,2.6654
2010-06-16,-0.768
2010-06-17,1.8399
2010-06-18,1.0466
2010-06-21,1.9774
2010-06-22,0.554
2010-06-23,0.0918
2010-06-24,-0.4587
2010-06-25,1.3825
2010-06-28,-3.0
2010-06-29,-6.6542
2010-06-30,-2.6104000000000003
2010-07-01,1.0309
2010-07-02,4.1849
2010-07-06,5.6806
2010-07-07,14.8272
2010-07-08,0.0
2010-07-09,0.8878
2010-07-12,-0.8
2010-07-13,2.0161
2010-07-14,0.0
2010-07-15,1.2648
2010-07-16,0.2342
2010-07-19,4.9065
2010-07-20,4.3059
2010-07-21,2.4199
2010-07-22,-0.4517
2010-07-23,-1.5009000000000001
2010-07-26,5.4571
2010-07-27,1.3441
2010-07-28,-2.5862
2010-07-29,0.6807
2010-07-30,-0.677
2010-08-02,6.2637
2010-08-03,6.0218
2010-08-04,5.7402
2010-08-05,1.8286
2010-08-06,2.5253
2010-08-09,8.3744
2010-08-10,3.9899
2010-08-11,-4.1288
2010-08-12,-3.3125
2010-08-13,-0.9221
2010-08-16,3.12
2010-08-17,11.4359
2010-08-18,12.5633
2010-08-19,-6.4595
2010-08-20,8.0857
2010-08-23,3.4776
2010-08-24,-5.3146
2010-08-25,-0.0825
2010-08-26,-0.8261
2010-08-27,4.873
2010-08-30,0.2383
2010-08-31,-2.0602
2010-09-01,2.589
2010-09-02,6.4669
2010-09-03,1.4074
2010-09-07,5.1863
2010-09-08,-2.9167
2010-09-09,-11.731
2010-09-10,-1.094
2010-09-13,8.3982
2010-09-14,0.7937
2010-09-15,3.5621
2010-09-16,4.6705
2010-09-17,0.1384
2010-09-20,1.6235
2010-09-21,4.7247
2010-09-22,-1.1685
2010-09-23,-3.9409
2010-09-24,1.1282
2010-09-27,2.096
2010-09-28,-2.4834
2010-09-29,7.4024
2010-09-30,-0.0632
2010-10-01,0.8858
2010-10-04,-7.7454
2010-10-05,3.3311
