ticker,DMAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-04,-14.7827
2008-07-11,6.6125
2009-06-01,-62.7119
2009-06-05,-9.6591
2009-06-17,-11.9497
2009-11-17,85.8571
2009-11-20,-0.2594
2009-12-11,-25.1903
2010-02-23,28.084
2010-05-07,-19.0309
2010-05-11,-4.7057
2010-05-13,-0.7427
2010-09-23,-9.1625
2010-09-28,2.3121
2010-10-07,10.1695
2010-10-18,0.7179
2010-10-28,20.1629
2010-12-17,28.0508
2010-12-20,-1.8034
2010-12-23,6.2342
2010-12-31,20.3965
2011-01-05,-3.3592
2011-01-07,5.6707
2011-01-12,5.4696
2011-01-25,46.8077
2011-01-27,6.0277
2011-01-28,-1.7365
2011-02-22,-13.0383
2011-02-23,5.1448
2011-02-25,-6.6772
2011-02-28,8.6215
2011-03-01,2.1137
2011-03-02,-3.4344
2011-03-08,17.4155
2011-03-10,-16.9076
2011-03-11,11.286
2011-03-15,-5.0405
2011-04-04,3.1314
2011-04-11,-2.304
2011-05-04,8.2203
2011-08-04,-25.5039
2011-08-08,-1.8961999999999999
2011-08-09,9.7439
2011-08-10,-3.5612
2011-09-22,-10.9071
2011-10-04,3.902
2011-11-04,-0.8696
2011-11-21,-7.1162
2011-12-08,44.0208
2011-12-09,2.418
2012-01-12,-14.974
2012-02-27,41.0392
2012-02-28,3.0432
2012-03-02,-4.2487
2012-03-05,-2.7056
2012-03-22,-4.9498999999999995
2012-03-30,-5.8806
2012-04-03,-2.9531
2012-04-04,-4.0999
2012-04-20,-1.4696
2012-04-27,7.8644
2012-04-30,1.8856000000000002
2012-05-07,3.0845
2012-05-17,-12.2083
2012-05-18,-1.9768
2012-06-04,28.3119
2012-07-03,-0.4403
2012-07-11,-3.7561
2012-07-31,12.8959
2012-08-02,2.9058
2012-08-07,7.5463000000000005
2012-08-22,-18.4246
2012-08-27,3.1077
2012-08-30,-3.4446
2012-09-12,5.8528
2012-10-05,-5.2133
2012-10-16,4.1111
2012-10-17,1.174
2012-10-23,-6.4346
2012-10-26,-0.2818
2012-11-01,-6.6139
2012-11-05,8.1114
2012-11-07,-24.0202
2012-11-12,-0.5158
2012-11-13,2.8148
2012-11-14,6.5562000000000005
2012-11-15,-9.6687
2012-11-16,0.2246
2012-11-19,4.1822
2012-11-20,0.0
2012-11-23,-5.6631
2012-11-26,3.1915
2012-11-30,-12.8268
2012-12-03,1.9586999999999999
2012-12-04,0.1657
2012-12-05,-15.0538
2012-12-10,20.4479
