ticker,ACCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-15,-7.0632
2005-08-16,-7.96
2005-08-17,8.04
2005-08-18,5.9131
2005-08-19,1.5951
2005-08-22,1.1215
2005-08-23,-4.0665
2005-08-24,-5.0482
2005-08-25,-3.4091
2005-08-26,1.0504
2005-08-29,11.0187
2005-08-30,-2.6217
2005-08-31,0.3846
2005-09-01,2.9885
2005-09-02,-0.4836
2005-09-06,-3.7382999999999997
2005-09-07,-1.2816
2005-09-08,-0.0787
2005-09-09,2.6378
2005-09-12,3.3755
2005-09-13,1.1132
2005-09-14,1.8349
2005-09-15,0.5766
2005-09-16,0.6091
2005-09-19,0.2137
2005-09-20,-1.8479
2005-09-21,0.3983
2005-09-22,-0.6491
2005-09-23,0.7623
2005-09-26,0.5043
2005-09-27,-0.1434
2005-09-28,-0.0359
2005-09-29,0.3591
2005-09-30,0.966
2005-10-03,-0.1417
2005-10-04,-1.6678
2005-10-05,-0.397
2005-10-06,0.0
2005-10-07,-0.3261
2005-10-10,-1.6721
2005-10-11,-0.8872
2005-10-12,-1.9022999999999999
2005-10-13,-1.749
2005-10-14,-3.9474
2005-10-17,-1.3699
2005-10-18,-0.3268
2005-10-19,-0.4508
2005-10-20,-0.3705
2005-10-21,-1.0744
2005-10-24,2.924
2005-10-25,1.6640000000000001
2005-10-26,-0.1597
2005-10-27,-2.0392
2005-10-28,-1.3061
2005-10-31,0.5376
2005-11-01,-1.6865
2005-11-02,0.0
2005-11-03,0.0
2005-11-04,-0.3347
2005-11-07,2.1411
2005-11-08,-3.0826000000000002
2005-11-09,-5.6404
2005-11-10,0.0449
2005-11-11,1.3477000000000001
2005-11-14,2.305
2005-11-15,0.9532
2005-11-16,0.4292
2005-11-17,1.2393
2005-11-18,0.5065
2005-11-21,-1.302
2005-11-22,-0.5106
2005-11-23,1.5825
2005-11-25,1.0947
2005-11-28,-2.3324
2005-11-29,-2.3454
2005-11-30,0.655
2005-12-01,0.3471
2005-12-02,0.0
2005-12-05,-0.6053
2005-12-06,-1.7833999999999999
2005-12-07,1.0629
2005-12-08,0.9202
2005-12-09,0.9553
2005-12-12,3.1828
2005-12-13,-0.3752
2005-12-14,-0.2092
2005-12-15,-0.8386
2005-12-16,-1.1839
2005-12-19,-0.7274
2005-12-20,0.1293
2005-12-21,0.4305
2005-12-22,0.7715
2005-12-23,0.4254
2005-12-27,1.1859
2005-12-28,-0.586
2005-12-29,2.1053
2005-12-30,1.0309
2006-01-03,-1.0204
