ticker,AMNCB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-25,-50.0
2014-06-26,-50.0
2014-07-29,50.0
2014-08-06,-6.6667
2014-08-12,-71.4286
2014-09-25,-40.0
2014-10-07,14.0625
2014-10-20,0.0
2014-11-07,5.9361
2014-12-22,0.0
2014-12-31,-17.2414
2015-01-28,0.0
2015-11-09,0.0
2016-02-22,0.0
2018-07-05,66.6667
2018-07-12,150.0
2018-07-13,100.0
2018-07-16,50.0
2018-07-24,0.0
2018-07-25,33.3333
2018-09-27,-90.0
2019-02-20,900.0
2019-03-05,-25.0
2019-03-06,-33.3333
2019-03-07,20.0
2019-03-08,0.0
2019-03-11,0.0
2019-03-13,12.5
2019-03-18,0.0
2019-03-21,-21.4815
2019-03-22,3.7736
2019-03-26,90.9091
2019-03-27,0.0
2019-03-28,-61.4286
2019-07-31,64.1975
2019-08-30,0.0
2019-09-12,12.782
2019-10-08,-54.3333
2019-10-24,118.9781
2019-10-28,-53.3333
2019-10-30,0.0
2019-11-01,114.2857
2019-11-12,39.9333
2019-11-22,-28.5374
2019-12-09,-33.3333
2020-01-02,30.0
2020-01-09,53.8462
2020-01-13,-50.0
2020-02-14,-6.0
2020-03-06,0.0
2020-03-19,0.0
2020-06-01,-25.5319
2020-06-15,-14.2857
2020-07-29,66.6667
