ticker,EQTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-06,50.0
2000-01-07,-33.3333
2000-01-13,0.0
2000-01-19,0.0
2000-01-28,50.0
2000-02-02,33.3333
2000-02-04,0.0
2000-02-07,16.0
2000-02-08,0.0
2000-02-14,0.0
2000-02-16,-12.069
2000-02-17,71.5686
2000-02-22,-48.5714
2000-02-23,122.2222
2000-02-24,0.0
2000-03-02,0.0
2000-03-13,50.0
2000-03-22,-16.6667
2000-03-27,8.0
2000-04-04,-25.9259
2000-04-05,0.0
2000-04-06,0.0
2000-04-12,0.0
2000-04-17,0.0
2000-04-26,0.0
2000-04-28,0.0
2000-05-03,-10.0
2000-05-04,0.0
2000-05-10,11.1111
2000-05-12,-12.5
2000-05-15,-41.7143
2000-05-17,7.8431
2000-05-18,0.0
2000-05-23,0.0
2000-05-24,-7.2727
2000-05-25,7.8431
2000-05-31,83.6364
2000-06-01,-25.7426
2000-06-05,0.0
2000-06-13,0.0
2000-06-14,6.6667
2000-06-15,-6.25
2000-06-19,13.3333
2000-06-21,0.0
2000-06-26,-5.8824
2000-07-03,-6.25
2000-07-10,6.6667
2000-07-11,-6.25
2000-07-12,0.0
2000-07-13,0.0
2000-07-14,-20.0
2000-07-24,0.0
2000-07-25,0.0
2000-08-04,25.0
2000-08-21,20.0
2000-08-25,-5.5556
2000-08-28,-17.647100000000002
2000-08-31,-7.1429
2000-09-06,-6.1538
2000-09-15,14.7541
2000-09-20,42.8571
2000-09-22,-18.75
2000-09-25,-26.1538
2000-09-27,33.3333
2000-09-28,-12.5
2000-09-29,-7.1429
2000-10-04,-7.6923
2000-10-13,0.0
2000-10-17,0.0
2000-10-18,0.0
2000-10-19,0.0
2000-10-25,0.0
2000-10-31,0.0
2000-11-06,33.3333
2000-11-07,-50.0
2000-11-10,0.0
2001-03-14,-50.0
2001-03-22,5.0
2001-04-10,-4.7619
2001-06-04,10.0
2001-06-06,127.2727
2001-06-11,-56.0
2001-06-27,36.3636
2001-08-09,-16.6667
2001-08-23,-8.0
2001-09-05,8.6957
2001-09-25,-20.0
2001-10-02,-20.0
2001-10-08,56.25
2001-10-10,-36.0
2001-10-30,-6.25
2001-11-01,33.3333
2001-11-26,-50.0
2001-12-12,-40.0
2001-12-17,0.0
2001-12-31,0.0
2002-01-09,0.0
2002-01-23,0.0
2002-02-04,316.6667
2002-02-19,-76.0
2002-02-28,-33.3333
2002-03-01,275.0
2002-03-14,-33.3333
2002-03-15,0.0
