ticker,DLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-17,35.0
2005-02-18,1.1111
2005-02-22,-4.1514
2005-02-23,-0.6794
2005-02-24,-4.2326
2005-02-25,2.9911
2005-02-28,0.0433
2005-03-01,-1.0832
2005-03-02,-1.0512
2005-03-03,1.3723
2005-03-04,0.131
2005-03-07,3.0964
2005-03-08,0.8883
2005-03-09,-0.3774
2005-03-10,-0.9259
2005-03-11,1.5293
2005-03-14,0.8368
2005-03-15,1.1618
2005-03-16,-2.379
2005-03-17,0.5882
2005-03-18,-0.3759
2005-03-21,-1.7610000000000001
2005-03-22,-2.8169
2005-03-23,-0.7466
2005-03-24,2.3009
2005-03-28,0.1298
2005-03-29,-0.3024
2005-03-30,0.7366
2005-03-31,1.0753
2005-04-01,1.0213
2005-04-04,-1.2216
2005-04-05,1.5352000000000001
2005-04-06,-4.6619
2005-04-07,-0.5286
2005-04-08,1.8601
2005-04-11,0.0
2005-04-12,-0.0435
2005-04-13,-4.0887
2005-04-14,-0.4535
2005-04-15,-0.6834
2005-04-18,-5.0459
2005-04-19,0.1449
2005-04-20,-2.1708
2005-04-21,-1.9231
2005-04-22,-4.9774
2005-04-25,5.7143
2005-04-26,0.1502
2005-04-27,0.1999
2005-04-28,0.9476
2005-04-29,1.0375
2005-05-02,1.7604
2005-05-03,-0.5766
2005-05-04,0.29
2005-05-05,2.8916
2005-05-06,-7.1663
2005-05-09,-1.6145
2005-05-10,-0.5128
2005-05-11,-2.1134
2005-05-12,-1.4745
2005-05-13,0.0
2005-05-16,2.4586
2005-05-17,0.2087
2005-05-18,1.7699
2005-05-19,1.5857
2005-05-20,-0.6042
2005-05-23,-0.4559
2005-05-24,-0.5089
2005-05-25,-0.4604
2005-05-26,0.1542
2005-05-27,0.8209
2005-05-31,1.4758
2005-06-01,-2.1063
2005-06-02,1.1783
2005-06-03,0.557
2005-06-06,0.2014
2005-06-07,-1.9095
2005-06-08,1.0758
2005-06-09,-0.7096
2005-06-10,-0.1021
2005-06-13,0.2555
2005-06-14,0.6116
2005-06-15,-1.925
2005-06-16,-0.8264
2005-06-17,2.5521000000000003
2005-06-20,1.3205
2005-06-21,14.6867
2005-06-22,-2.7535
2005-06-23,0.7191
2005-06-24,1.071
2005-06-27,-2.9139
2005-06-28,0.5457
2005-06-29,-0.2714
2005-06-30,0.0454
2005-07-01,1.5413000000000001
2005-07-05,-1.6071
2005-07-06,2.9492000000000003
2005-07-07,1.0137
2005-07-08,3.7522
