ticker,BCDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-04,8974.4615
2012-09-10,0.0
2012-09-11,-67.3267
2012-09-13,66.6667
2012-09-18,-9.0909
2012-09-19,88.0
2012-09-21,-5.3191
2012-09-27,-43.8202
2012-09-28,10.0
2012-10-01,18.1818
2012-10-02,38.4615
2012-10-03,0.0
2012-10-04,10.5556
2012-10-05,0.5025
2012-10-08,1.0
2012-10-09,0.9901
2012-10-10,15.6863
2012-10-11,8.4746
2012-10-12,4.6875
2012-10-15,14.1791
2012-10-16,1.3072
2012-10-17,-16.7742
2012-10-18,-10.0775
2012-10-19,-11.2069
2012-10-22,-15.534
2012-10-23,5.8621
2012-10-24,2.063
2012-10-25,-2.1277
2012-10-26,-7.6087
2012-10-31,1.1764999999999999
2012-11-01,1.1628
2012-11-02,-1.1494
2012-11-05,4.6512
2012-11-06,-5.0
2012-11-07,0.5848
2012-11-08,-2.3256
2012-11-09,1.1905000000000001
2012-11-12,0.0
2012-11-13,7.0588
2012-11-14,1.0989
2012-11-15,11.9565
2012-11-16,3.8834999999999997
2012-11-19,-9.8131
2012-11-20,-0.5181
2012-11-21,5.2083
2012-11-26,2.9703
2012-11-27,-18.2692
2012-11-28,0.0
2012-11-29,-32.9412
2012-11-30,21.0526
2012-12-03,10.1449
2012-12-04,-1.3158
2012-12-05,-13.3333
2012-12-06,-9.2308
2012-12-07,-15.2542
2012-12-10,16.0
2012-12-11,-3.4483
2012-12-12,-6.9643
2012-12-13,-0.1919
2012-12-14,-3.8462
2012-12-17,0.0
2012-12-18,-6.0
2012-12-19,-12.766
2012-12-20,14.6341
2012-12-21,-3.1915
2012-12-24,3.2967
2012-12-26,5.1064
2012-12-27,-4.8583
2012-12-28,2.1277
2012-12-31,2.0833
2013-01-02,-8.1633
2013-01-03,6.625
2013-01-04,-3.9208
2013-01-07,1.9523000000000001
2013-01-08,0.5319
2013-01-09,-4.5238
2013-01-10,4.184
2013-01-11,-10.6383
2013-01-14,4.7619
2013-01-15,-4.5455
2013-01-16,0.0
2013-01-17,-3.5714
2013-01-18,-0.7407
2013-01-22,-2.9851
2013-01-23,-2.5641
2013-01-24,9.2105
2013-01-25,-8.4337
2013-01-28,-1.9737
2013-01-29,7.1141
2013-01-30,-2.2556
2013-01-31,2.5641
2013-02-01,-7.0
2013-02-04,0.0
2013-02-05,7.4933
2013-02-06,0.0313
2013-02-07,5.0
2013-02-08,-4.1964
2013-02-11,5.6229
2013-02-12,-8.2353
