ticker,EDVR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-19,0.0
2018-06-26,0.9569
2018-07-05,1.4218
2018-11-19,3.271
2019-01-07,-1.9005
2019-01-08,-1.7528000000000001
2019-01-24,7.9812
2019-01-31,-8.6957
2019-02-19,13.8095
2019-02-27,-3.7657
2019-03-04,-6.6087
2019-03-12,11.2663
2019-03-13,-12.1339
2019-04-08,9.0476
2019-04-12,-5.7642
2019-04-16,4.2632
2019-04-17,-7.5556
2019-04-25,-0.3846
2019-05-02,8.6873
2019-05-03,-4.5293
2019-05-20,0.4651
2019-05-23,-0.463
2019-05-24,2.3256
2019-05-28,-5.9082
2019-05-30,1.9797
2019-06-07,-2.4159
2019-06-10,-0.4854
2019-06-11,0.0
2019-06-13,0.9756
2019-06-14,0.0
2019-06-17,0.0
2019-06-18,-0.2899
2019-06-19,-4.0688
2019-06-25,-0.001
2019-07-03,1.0101
2019-07-08,-4.2
2019-07-19,2.2965
2019-07-24,-0.5102
2019-07-25,0.0
2019-07-26,-0.5128
2019-07-30,4.6392
2019-07-31,-0.9852
2019-08-06,-0.8955
2019-08-07,0.0
2019-08-08,0.0
2019-08-13,0.0
2019-08-14,1.4056
2019-08-15,-0.9901
2019-08-16,-0.1
2019-08-27,-0.1001
2019-09-05,2.004
2019-09-11,3.1434
2019-09-13,0.4762
2019-09-16,1.4218
2019-09-20,1.0748
2019-10-10,0.601
2019-10-18,0.0
2019-10-22,0.6434
2019-10-23,0.4566
2019-10-25,-0.4545
2019-10-28,-0.6393
2019-11-11,0.6434
2019-11-20,-0.9132
2019-11-21,-1.2903
2019-11-22,-0.5602
2019-11-25,0.4695
2019-11-29,-1.5888
2019-12-03,0.0
2019-12-04,-0.095
2019-12-09,0.7605
2019-12-16,0.0
2019-12-19,2.3585
2019-12-20,0.9217
2020-01-02,-4.5662
2020-01-15,0.4785
2020-01-22,-1.0476
2020-01-23,-0.385
2020-01-24,0.7729
2020-01-27,-0.4803
2020-01-30,0.579
2020-02-06,-2.682
2020-02-07,0.0984
2020-02-10,4.9164
2020-02-11,-2.5305
2020-02-19,-0.9615
2020-02-20,-0.2913
2020-02-21,2.4343
2020-02-24,0.0
2020-02-27,-3.2319
2020-03-02,1.6699000000000002
2020-03-03,-1.6425
2020-03-06,0.0
2020-03-11,0.0
2020-03-12,-11.1002
2020-03-13,9.1713
2020-03-16,-5.8704
2020-03-17,-12.3656
2020-03-18,-2.454
2020-03-20,-1.1320999999999999
2020-03-23,-0.7634
2020-03-31,8.3333
2020-04-01,-2.3669000000000002
2020-04-08,1.2121
2020-04-15,2.3952
2020-04-17,0.0
2020-04-21,0.5848
2020-04-23,-5.814
2020-04-27,1.8519
2020-04-28,3.0303
2020-04-29,0.0
2020-05-05,0.3529
2020-05-06,0.0
2020-05-08,0.0
2020-05-11,0.4689
2020-05-13,0.2334
2020-05-15,-0.1164
2020-05-18,-0.5245
2020-05-22,-0.9959
2020-05-28,4.142
2020-06-01,-0.5682
2020-06-02,0.3429
2020-06-03,-1.4806
2020-06-04,0.0
2020-06-10,-0.3468
2020-06-15,-0.232
2020-06-22,-4.6512
2020-06-30,5.4878
2020-07-07,-0.3468
2020-07-14,-0.232
2020-07-21,3.6047000000000002
2020-07-30,-4.6016
