ticker,INSW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-17,54.69
2016-11-18,-8.9087
2016-11-21,0.7885
2016-11-22,9.9573
2016-11-23,3.4929
2016-11-28,-0.8125
2016-11-30,-5.482
2016-12-01,-13.6667
2016-12-02,-10.5792
2016-12-05,-8.1174
2016-12-06,12.782
2016-12-07,4.3333
2016-12-08,8.147
2016-12-09,6.0561
2016-12-12,3.6212
2016-12-13,-4.3011
2016-12-14,-2.9494
2016-12-15,-0.7236
2016-12-16,2.3324
2016-12-19,-0.641
2016-12-20,-1.8638
2016-12-21,-2.8487999999999998
2016-12-22,-2.1805
2016-12-23,7.6095
2016-12-27,-0.7143
2016-12-28,0.2158
2016-12-29,-0.5743
2016-12-30,1.3718
2017-01-03,2.4929
2017-01-04,2.8491999999999997
2017-01-05,1.5541
2017-01-06,1.996
2017-01-09,3.653
2017-01-10,-0.3147
2017-01-11,-0.5682
2017-01-12,0.7619
2017-01-13,0.6301
2017-01-17,3.6944
2017-01-18,2.8986
2017-01-19,0.1761
2017-01-20,0.5858
2017-01-23,-0.4659
2017-01-24,4.9737
2017-01-25,0.9476
2017-01-26,-0.7178
2017-01-27,0.6674
2017-01-30,-1.768
2017-01-31,-2.2497
2017-02-01,0.4603
2017-02-02,-2.1191
2017-02-03,1.8138999999999998
2017-02-06,0.0
2017-02-07,-0.6897
2017-02-08,1.7361
2017-02-09,1.2514
2017-02-10,-0.0562
2017-02-13,1.0118
2017-02-14,1.3356
2017-02-15,0.2197
2017-02-16,0.3288
2017-02-17,1.0923
2017-02-21,0.8644
2017-02-22,0.5356
2017-02-23,0.5328
2017-02-24,1.1659
2017-02-27,-0.1572
2017-02-28,-1.6263999999999998
2017-03-01,-0.2667
2017-03-02,0.5348
2017-03-03,-0.5319
2017-03-06,0.3209
2017-03-07,-1.6524999999999999
2017-03-08,-0.9214
2017-03-09,0.1094
2017-03-10,0.9836
2017-03-13,1.5152
2017-03-14,-1.0128
2017-03-15,1.6155
2017-03-16,0.5299
2017-03-17,-0.369
2017-03-20,0.8466
2017-03-21,3.3054
2017-03-22,0.8126
2017-03-23,-0.0504
2017-03-24,0.0504
2017-03-27,-0.0504
2017-03-28,2.873
2017-03-29,-6.2714
2017-03-30,0.4182
2017-03-31,-0.4685
2017-04-03,0.2615
2017-04-04,-1.8258
2017-04-05,-0.5313
2017-04-06,1.3889
2017-04-07,-0.6322
2017-04-10,1.6437
2017-04-11,0.1565
2017-04-12,-2.0833
2017-04-13,-0.9043
