ticker,UEIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4457
2000-01-04,-4.1783
2000-01-05,-5.814
2000-01-06,-2.4691
2000-01-07,-5.0633
2000-01-10,8.6667
2000-01-11,-3.0675
2000-01-12,5.0633
2000-01-13,8.4337
2000-01-14,-1.1111
2000-01-18,0.0
2000-01-19,-1.1236
2000-01-20,-2.5568
2000-01-21,-6.414
2000-01-24,-2.8037
2000-01-25,0.3205
2000-01-26,0.3195
2000-01-27,0.6369
2000-01-28,-4.1139
2000-01-31,-3.6304
2000-02-01,0.0
2000-02-02,-2.7397
2000-02-03,-5.2817
2000-02-04,0.7435
2000-02-07,4.797
2000-02-08,5.6338
2000-02-09,1.0
2000-02-10,-1.3201
2000-02-11,1.6722000000000001
2000-02-14,-1.3158
2000-02-15,-2.0
2000-02-16,-0.5102
2000-02-17,3.9316
2000-02-18,-2.6316
2000-02-22,-8.7838
2000-02-23,0.0
2000-02-24,-1.8519
2000-02-25,-0.3774
2000-02-28,0.0
2000-02-29,19.697
2000-03-01,17.7215
2000-03-02,-2.1505
2000-03-03,0.5495
2000-03-06,-3.5519
2000-03-07,20.1133
2000-03-08,3.7736
2000-03-09,14.7727
2000-03-10,0.5941
2000-03-13,-3.1496
2000-03-14,-0.6098
2000-03-15,-12.4744
2000-03-16,2.8037
2000-03-17,1.3636
2000-03-20,-3.5874
2000-03-21,-3.2558
2000-03-22,4.8077
2000-03-23,-0.9174
2000-03-24,-1.6204
2000-03-27,4.0
2000-03-28,-1.81
2000-03-29,2.3041
2000-03-30,-17.1171
2000-03-31,5.4348
2000-04-03,-0.5155
2000-04-04,-15.0259
2000-04-05,14.6341
2000-04-06,-5.8511
2000-04-07,3.1073
2000-04-10,0.8219
2000-04-11,-6.5217
2000-04-12,5.2326
2000-04-13,-0.5525
2000-04-14,-13.8889
2000-04-17,-6.4516
2000-04-18,15.8621
2000-04-19,2.6786
2000-04-20,2.6087
2000-04-24,-7.0621
2000-04-25,-0.304
2000-04-26,2.439
2000-04-27,2.3810000000000002
2000-04-28,-4.6512
2000-05-01,7.3171
2000-05-02,-6.25
2000-05-03,2.1212
2000-05-04,6.7507
2000-05-05,0.0695
2000-05-08,0.0
2000-05-09,-7.7778
2000-05-10,-6.0241
2000-05-11,3.2051
2000-05-12,3.1056
2000-05-15,-3.012
2000-05-16,1.2422
2000-05-17,-1.227
2000-05-18,1.2422
2000-05-19,-1.8405
2000-05-22,-4.6875
2000-05-23,5.5738
