ticker,PRPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-16,-20.0
2015-01-27,-62.5
2015-01-28,-33.3333
2015-02-24,-50.0
2015-02-26,70.0
2015-02-27,-41.1765
2015-03-12,-20.0
2015-03-13,23.75
2015-03-16,0.0
2015-04-13,-39.3939
2015-06-08,16.6667
2015-06-09,14.2857
2015-06-22,75.0
2015-06-23,14.2857
2015-06-26,-12.5
2015-07-09,-57.1429
2015-07-14,133.3333
2015-07-15,0.0
2015-08-18,-78.5714
2015-09-23,33.3333
2015-09-25,125.0
2015-10-15,-61.1111
2015-10-20,0.0
2015-10-27,0.0
2015-12-28,-99.4643
2016-01-21,5233.3333
2016-03-17,10.0
2016-06-15,809.0909
2016-06-16,0.0
2016-07-20,10.8125
2016-07-28,-27.806
2016-08-16,-2.8906
2016-08-19,0.0
2016-08-31,-9.8954
2016-09-15,-14.2857
2016-10-24,25.625
2016-12-28,17.4129
2017-01-03,5.226
2017-01-13,7.3826
2017-01-23,0.0
2017-03-16,0.0
2017-05-30,0.0
2017-06-23,0.0
2017-07-24,-50.0
2017-08-24,13.8
2017-12-26,-12.1265
2018-01-03,15.4
2018-02-13,3.8128
2018-03-14,-16.5275
2018-03-19,-50.0
2018-08-30,-50.0
2019-01-14,110.0
2019-05-07,-52.381
2019-10-29,140.0
2019-11-05,220.0
2019-11-06,45.8333
2019-11-07,-49.2857
2019-11-08,0.1408
2019-11-12,57.5246
2019-11-19,-33.0357
2019-11-27,14.0667
2019-12-02,-16.8907
2019-12-03,-1.5471
2019-12-20,0.0
2019-12-27,-6.8571
2019-12-31,-7.9755
2020-01-03,0.0
2020-01-21,46.6667
2020-02-14,-20.4545
2020-02-24,31.1714
2020-04-16,3.2455
2020-04-22,-27.1097
2020-04-27,-20.4052
2020-04-28,-9.0909
2020-04-30,0.0
2020-05-07,-10.0
2020-06-10,-22.2222
2020-07-01,28.5714
2020-07-02,55.3333
2020-07-06,85.98
2020-07-07,12.3077
2020-07-09,2.7397
2020-07-10,73.3333
2020-07-13,5.9615
2020-07-14,-48.784
2020-07-15,-0.7796
2020-07-16,-21.4286
2020-07-17,-8.1818
2020-07-20,18.8119
2020-07-21,0.0
2020-07-22,8.3333
2020-07-23,-38.4615
2020-07-24,-12.5
2020-07-28,33.4286
2020-07-29,-35.7602
2020-07-31,38.3333
