ticker,ORGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-05,18.1818
2010-11-16,26.9231
2011-02-03,21.2121
2011-07-29,180.0
2012-02-08,4212.5
2012-03-13,117.3913
2012-03-14,6.0
2012-03-15,3.7736
2012-03-16,0.0
2012-03-19,-1.2121
2012-03-20,0.0
2012-03-21,-1.8405
2012-03-22,-11.25
2012-03-23,4.9296
2012-03-26,-1.3423
2012-03-27,1.3605
2012-03-28,-6.0403
2012-03-29,3.5714
2012-03-30,-3.4483
2012-04-02,3.5714
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,-0.6897
2012-04-09,-7.6389
2012-04-10,-0.7519
2012-04-11,9.8485
2012-04-12,-3.4483
2012-04-13,-5.7143
2012-04-16,-1.5152
2012-04-17,-11.538499999999999
2012-04-18,-7.8261
2012-04-19,-11.3208
2012-04-20,34.0426
2012-04-23,-4.7619
2012-04-24,-5.0
2012-04-25,-7.8947
2012-04-26,13.3333
2012-04-27,-11.7647
2012-04-30,-1.9048
2012-05-01,21.3592
2012-05-02,-4.0
2012-05-03,-5.0
2012-05-04,-3.5088
2012-05-07,-9.0909
2012-05-08,-2.0
2012-05-09,-2.0408
2012-05-10,5.2083
2012-05-11,-18.8119
2012-05-14,21.9512
2012-05-15,5.0
2012-05-16,-14.2857
2012-05-17,6.6667
2012-05-18,-11.4583
2012-05-21,0.0
2012-05-22,8.4706
2012-05-23,5.2061
2012-05-24,-12.3711
2012-05-25,5.8824
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,-5.5556
2012-06-04,0.0
2012-06-05,3.7058999999999997
2012-06-06,-3.5735
2012-06-07,3.7058999999999997
2012-06-08,0.0
2012-06-11,-6.9767
2012-06-12,-2.439
2012-06-13,2.5
2012-06-14,0.0
2012-06-15,4.878
2012-06-18,-12.7907
2012-06-19,-13.3333
2012-06-20,7.6923
2012-06-21,-21.4286
2012-06-22,49.0909
2012-06-25,0.0
2012-06-26,-26.8293
2012-06-27,0.0
2012-06-28,-8.3333
2012-06-29,20.4545
2012-07-02,20.7547
2012-07-03,6.25
2012-07-05,-5.8824
2012-07-06,-1.25
2012-07-09,11.3924
2012-07-10,0.0
2012-07-11,0.0
2012-07-13,-3.4091
2012-07-16,0.0
2012-07-17,0.0
2012-07-18,0.0
2012-07-19,0.0
2012-07-20,-11.7647
2012-07-23,-22.6667
2012-07-24,46.5517
2012-07-25,-52.9412
2012-07-26,0.0
2012-07-27,62.5
2012-07-30,61.5385
