ticker,KOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-01,12.5
2006-02-02,2.5397
2006-02-03,4.9536
2006-02-06,1.7699
2006-02-07,-1.4493
2006-02-08,0.0
2006-02-09,3.0588
2006-02-10,0.1712
2006-02-13,0.2849
2006-02-14,3.9773
2006-02-15,-0.4918
2006-02-16,-2.8007
2006-02-17,2.2599
2006-02-21,7.7348
2006-02-22,-1.3333
2006-02-23,-1.2474
2006-02-24,-0.2632
2006-02-27,-1.0554
2006-02-28,0.8
2006-03-01,-0.5291
2006-03-02,-1.4362
2006-03-03,0.9174
2006-03-06,-0.5348
2006-03-07,-4.8387
2006-03-08,-1.1864
2006-03-09,-1.3721999999999999
2006-03-10,0.2899
2006-03-13,-1.8497
2006-03-14,0.5889
2006-03-15,1.4637
2006-03-16,-1.3272
2006-03-17,1.462
2006-03-20,5.8213
2006-03-21,-1.6885
2006-03-22,1.108
2006-03-23,5.9726
2006-03-24,2.637
2006-03-27,1.0579
2006-03-28,0.9472
2006-03-29,1.4815
2006-03-30,-1.7115
2006-03-31,-2.2388
2006-04-03,-3.4606
2006-04-04,0.5271
2006-04-05,7.7084
2006-04-06,0.779
2006-04-07,1.1594
2006-04-10,-1.8147
2006-04-11,-2.286
2006-04-12,-0.0996
2006-04-13,-0.6477
2006-04-17,-0.5517
2006-04-18,5.9002
2006-04-19,-3.5714
2006-04-20,0.4938
2006-04-21,-1.8673
2006-04-24,-3.305
2006-04-25,-0.3625
2006-04-26,0.5717
2006-04-27,0.155
2006-04-28,3.1992
2006-05-01,-0.3
2006-05-02,0.5517
2006-05-03,0.7481
2006-05-04,-0.099
2006-05-05,0.0991
2006-05-08,-0.7426
2006-05-09,0.4988
2006-05-10,0.7444
2006-05-11,12.4138
2006-05-12,-5.7844
2006-05-15,2.8837
2006-05-16,-1.4919
2006-05-17,-0.2754
2006-05-18,-1.6566999999999998
2006-05-19,0.0
2006-05-22,-5.9429
2006-05-23,-1.7412999999999998
2006-05-24,-3.8481
2006-05-25,-1.2112
2006-05-26,4.4243
2006-05-30,-5.5104
2006-05-31,6.5947
2006-06-01,7.6687
2006-06-02,-1.2821
2006-06-05,-6.1568
2006-06-06,-2.5628
2006-06-07,-1.3151
2006-06-08,-5.8102
2006-06-09,7.4137
2006-06-12,-6.2171
2006-06-13,-3.9326
2006-06-14,0.9357
2006-06-15,6.6049
2006-06-16,-3.2065
2006-06-19,-1.7406000000000001
2006-06-20,-2.8571
2006-06-21,3.0
