ticker,TOMDF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-06,40.0
2017-09-11,1.4285999999999999
2017-09-14,1.4085
2017-09-15,5.1389
2017-09-18,3.6988
2017-09-19,0.6369
2017-10-02,1.2658
2017-10-03,0.0
2017-10-13,0.0
2017-10-16,6.25
2017-10-17,0.0
2017-10-23,5.8824
2017-10-30,-44.4444
2017-10-31,20.0
2017-11-01,48.3333
2017-11-10,-4.4944
2018-02-06,-5.8824
2018-02-12,0.0
2018-02-15,0.0
2018-03-26,0.0
2018-04-02,-1.25
2018-04-24,-31.6456
2018-05-04,-3.7037
2018-05-07,-1.9231
2018-05-08,1.9607999999999999
2018-05-10,-1.9231
2018-06-14,66.6667
2018-07-12,-64.7059
2018-07-13,-66.6667
2018-07-16,345.0
2018-07-18,-77.5281
2018-07-23,260.0
2018-08-02,-72.2222
2018-08-07,50.0
2018-08-09,-42.2667
2018-08-14,107.8522
2018-09-07,-38.8889
2018-09-12,0.0
2018-09-14,0.0
2018-09-28,63.6364
2018-10-31,-16.6667
2018-11-01,0.0
2019-01-11,-66.6667
2019-01-15,200.0
2019-01-22,-6.6667
2019-01-24,7.1429
2019-01-25,-6.6667
2019-02-05,0.0
2019-02-19,-57.1429
2019-02-20,133.3333
2019-02-21,0.0
2019-02-28,7.1429
2019-03-01,0.0
2019-03-06,0.0
2019-03-08,-66.6667
2019-03-12,140.0
2019-03-13,0.0
2019-03-14,0.0
2019-03-21,8.3333
2019-03-22,-7.6923
2019-03-25,0.0
2019-03-26,25.0
2019-03-29,0.0
2019-04-01,0.0
2019-04-02,-6.6667
2019-04-04,7.1429
2019-04-08,33.3333
2019-04-09,0.0
2019-04-10,0.0
2019-04-15,0.0
2019-04-16,0.0
2019-04-18,10.0
2019-04-22,0.0
2019-04-23,-9.0909
2019-04-24,0.0
2019-04-29,-5.0
2019-04-30,15.7895
2019-05-01,0.0
2019-05-03,0.0
2019-05-06,0.0
2019-05-08,-9.0909
2019-05-14,10.0
2019-05-15,0.0
2019-05-21,0.0
2019-05-22,4.5455
2019-05-24,4.3478
2019-05-28,4.1667
2019-05-29,0.0
2019-05-31,4.0
2019-06-03,-3.8462
2019-06-04,4.0
2019-06-05,0.0
2019-06-06,-3.8462
2019-06-07,4.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,-1.9231
2019-06-13,0.9804
2019-06-17,0.0
2019-06-20,-1.9417
2019-06-21,6.9307
2019-06-24,-7.4074
2019-06-26,-4.0
2019-07-01,-4.1667
