ticker,RMBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-03,-0.4403
2019-07-05,0.4422
2019-07-08,-1.4652
2019-07-09,0.3717
2019-07-10,-0.6667
2019-07-11,-0.0746
2019-07-12,-0.1119
2019-07-15,-1.3074
2019-07-16,-0.2286
2019-07-17,-0.3779
2019-07-18,-0.1523
2019-07-19,-0.0763
2019-07-22,-0.687
2019-07-23,0.3843
2019-07-24,-0.3063
2019-07-25,-0.1536
2019-07-26,0.0
2019-07-29,0.1538
2019-07-30,0.6144
2019-07-31,0.7634
2019-08-01,0.2273
2019-08-02,0.4535
2019-08-05,0.1505
2019-08-06,0.2254
2019-08-07,-0.3748
2019-08-08,-0.301
2019-08-09,1.2075
2019-08-12,-0.4474
2019-08-13,0.3745
2019-08-14,-1.1194
2019-08-15,-1.9623
2019-08-16,0.6928
2019-08-19,1.1468
2019-08-20,0.7559
2019-08-21,-0.4501
2019-08-22,0.6029
2019-08-23,-0.824
2019-08-26,-1.435
2019-08-27,-0.7663
2019-08-28,1.8533
2019-08-29,0.0758
2019-08-30,-0.1515
2019-09-03,-2.8073
2019-09-04,1.4832
2019-09-05,0.7692
2019-09-06,0.3817
2019-09-09,2.0532
2019-09-10,-0.5216
2019-09-11,0.8989
2019-09-12,0.297
2019-09-13,-0.3701
2019-09-16,2.0802
2019-09-17,2.0378
2019-09-18,-0.6419
2019-09-19,0.0
2019-09-20,0.8615
2019-09-23,-1.0676
2019-09-24,0.0
2019-09-25,-0.4317
2019-09-26,-0.7225
2019-09-27,0.9461
2019-09-30,0.8652
2019-10-01,-3.2166
2019-10-02,1.6987
2019-10-03,0.1452
2019-10-04,0.2901
2019-10-07,-0.8677
2019-10-08,-0.5835
2019-10-09,-0.6603
2019-10-10,0.0739
2019-10-11,2.0664
2019-10-14,-1.4461
2019-10-15,0.6603
2019-10-16,0.656
2019-10-17,0.7965
2019-10-18,0.2874
2019-10-21,-0.2149
2019-10-22,-0.2872
2019-10-23,-0.216
2019-10-24,0.0
2019-10-25,0.0722
2019-10-28,0.5047
2019-10-29,-0.2869
2019-10-30,0.0719
2019-10-31,0.2876
2019-11-01,0.0
2019-11-04,-0.5018
2019-11-05,0.3602
2019-11-06,-0.5743
2019-11-07,0.2888
2019-11-08,0.288
2019-11-11,0.1436
2019-11-12,-0.2867
2019-11-13,0.4313
2019-11-14,-0.7158
2019-11-15,0.721
2019-11-18,1.1453
2019-11-19,1.7692999999999999
2019-11-20,0.765
2019-11-21,0.7591
