ticker,EMED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-15,33.3333
2019-08-16,39.0
2019-08-20,0.0
2019-09-20,-30.2158
2019-11-08,0.5155
2019-11-13,15.3846
2019-11-27,-39.5556
2019-12-03,39.7059
2019-12-16,-42.1053
2019-12-17,86.3636
2020-01-15,-50.7268
2020-01-17,48.5001
2020-01-30,-70.0
2020-01-31,33.3333
2020-02-05,25.0
2020-02-07,-40.0
2020-02-10,13.3333
2020-02-24,-7.8431
2020-03-04,10.6383
2020-03-09,-25.0
2020-03-17,207.6923
2020-03-24,-74.9917
2020-04-23,39.9533
2020-04-24,7.1429
2020-04-27,9.4444
2020-04-28,4.5685
2020-04-29,-2.9126
2020-04-30,4.0
2020-05-01,0.0
2020-05-04,1.9231
2020-05-05,-1.8868
2020-05-06,0.9615
2020-05-07,-9.5238
2020-05-08,0.0
2020-05-12,9.473700000000001
2020-05-13,-3.8462
2020-05-14,2.0
2020-05-15,1.9607999999999999
2020-05-18,0.9615
2020-05-19,9.5238
2020-05-20,-14.7826
2020-05-21,7.1429
2020-05-22,-0.9524
2020-05-27,0.0
2020-05-29,34.6154
2020-06-03,-27.1429
2020-06-05,27.451
2020-06-08,4.6154
2020-06-09,2.9412000000000003
2020-06-10,0.0
2020-06-12,7.1429
2020-06-15,13.3333
2020-06-16,-14.1176
2020-06-17,-4.1096
2020-06-18,14.2857
2020-06-19,0.0
2020-06-22,-6.25
2020-06-23,0.0
2020-06-24,12.0
2020-06-25,0.0
2020-06-26,25.0
2020-06-29,-5.7143
2020-06-30,15.1515
2020-07-01,7.4561
2020-07-02,14.2857
2020-07-06,7.1429
2020-07-07,0.0
2020-07-08,6.6667
2020-07-09,0.0
2020-07-10,10.0
2020-07-13,1.1364
2020-07-14,3.9326
2020-07-15,-2.1622
2020-07-16,4.9724
2020-07-17,1.5789
2020-07-20,1.5544
2020-07-21,-2.551
2020-07-22,4.712
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,-1.0
2020-07-30,0.0
2020-07-31,-0.5051
