ticker,CAAP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-01,-3.5294
2018-02-02,1.2195
2018-02-05,-0.6627
2018-02-06,0.0606
2018-02-07,-0.0606
2018-02-08,-4.0631
2018-02-09,1.1378
2018-02-12,0.9375
2018-02-13,0.3096
2018-02-14,1.5432000000000001
2018-02-15,-0.304
2018-02-16,0.9146
2018-02-20,-1.0272
2018-02-21,-1.0989
2018-02-22,-2.4074
2018-02-23,-1.6444999999999999
2018-02-26,1.7363
2018-02-27,-1.6435
2018-02-28,2.2494
2018-03-01,-3.5827
2018-03-02,-0.2608
2018-03-05,-2.2222
2018-03-06,-1.9385
2018-03-07,-3.3401
2018-03-08,-2.6093
2018-03-09,4.4171
2018-03-12,2.0111
2018-03-13,0.9517
2018-03-14,-4.0404
2018-03-15,-0.3509
2018-03-16,-0.4225
2018-03-19,-2.6167
2018-03-20,0.0726
2018-03-21,-5.5152
2018-03-22,-1.3825
2018-03-23,-1.0903
2018-03-26,-1.4961
2018-03-27,-1.0392
2018-03-28,-3.5541
2018-03-29,3.3501
2018-04-02,-2.8363
2018-04-03,1.251
2018-04-04,3.2125
2018-04-05,2.3943
2018-04-06,0.3897
2018-04-09,-4.5031
2018-04-10,0.813
2018-04-11,-1.371
2018-04-12,-0.8177
2018-04-13,0.4122
2018-04-16,-1.3957
2018-04-17,1.3322
2018-04-18,3.1224
2018-04-19,0.8765
2018-04-20,0.8689
2018-04-23,0.3915
2018-04-24,-1.248
2018-04-25,-1.9747
2018-04-26,-4.996
2018-04-27,-0.6785
2018-04-30,5.38
2018-05-01,-1.0535
2018-05-02,-3.5217
2018-05-03,-3.9049
2018-05-04,-0.4417
2018-05-07,-0.3549
2018-05-08,-5.1647
2018-05-09,-2.4413
2018-05-10,-1.155
2018-05-11,4.3817
2018-05-14,-5.9701
2018-05-15,3.373
2018-05-16,9.5969
2018-05-17,3.0648
2018-05-18,-4.503
2018-05-21,-1.5125
2018-05-22,4.336
2018-05-23,0.2597
2018-05-24,-0.5181
2018-05-25,1.6493
2018-05-29,-4.953
2018-05-30,5.8401
2018-05-31,1.3582
2018-06-01,-0.335
2018-06-04,-1.6806999999999999
2018-06-05,-2.735
2018-06-06,-1.5817
2018-06-07,4.0179
2018-06-08,-3.176
2018-06-11,-3.8121
2018-06-12,-1.3825
2018-06-13,1.1215
2018-06-14,-2.6802
2018-06-15,2.754
2018-06-18,-3.8817
2018-06-19,-1.9231
2018-06-20,-1.8627
2018-06-21,0.3996
