ticker,FCHS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-03,0.0
2009-06-12,0.0
2009-08-03,0.0
2009-08-05,0.0
2009-08-07,0.0
2009-08-10,0.0
2009-08-11,0.0
2009-08-17,0.0
2009-08-21,0.0
2009-08-25,12.0
2009-08-31,-10.7143
2010-06-23,0.0
2010-10-26,98.0
2011-01-07,152.5253
2011-01-10,0.0
2011-01-11,0.0
2011-01-14,0.0
2011-01-18,0.0
2011-01-21,-16.0
2011-01-24,0.0
2011-01-25,8.5714
2011-01-28,5.2632
2011-01-31,0.0
2011-02-01,0.0
2011-02-02,0.0
2011-02-04,-12.5
2011-02-07,14.2857
2011-02-08,0.0
2011-02-09,0.0
2011-02-10,-1.0
2011-02-11,-0.6734
2011-02-14,-6.7797
2011-02-15,0.0
2011-02-16,7.2727
2011-02-17,0.8475
2011-02-18,-13.0252
2011-02-22,0.4831
2011-02-23,13.461500000000001
2011-02-24,-0.8475
2011-02-25,0.8547
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,-6.7797
2011-03-07,0.0
2011-03-08,0.0
2011-03-09,0.0
2011-03-10,-4.5455
2011-03-11,0.0
2011-03-14,0.0
2011-03-15,9.5238
2011-03-16,-13.0435
2011-03-17,13.0
2011-03-18,0.0
2011-03-21,-11.5044
2011-03-22,0.0
2011-03-23,0.0
2011-03-24,0.0
2011-03-25,0.0
2011-03-28,0.0
2011-03-29,-5.0
2011-03-30,5.2632
2011-03-31,0.0
2011-04-01,0.0
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,0.0
2011-04-07,5.0
2011-04-08,-4.7619
2011-04-11,-0.5
2011-04-12,0.5025
2011-04-13,0.0
2011-04-14,-5.0
2011-04-15,4.2105
2011-04-18,-4.0404
2011-04-19,0.0
2011-04-20,-5.1711
2011-04-21,23.2135
2011-04-25,-0.9009
2011-04-26,0.0
2011-04-27,1.8182
2011-04-28,0.0
2011-04-29,1.7856999999999998
2011-05-02,-3.5088
2011-05-04,-2.7273
2011-05-05,-11.215
2011-05-06,-2.1053
2011-05-09,6.4516
2011-05-10,-9.0909
2011-05-11,15.5556
2011-05-26,-4.8077
2011-06-02,8.0808
2011-06-03,1.8692
2011-06-06,0.9174
2011-06-07,-6.3636
2011-06-08,-50.4854
2011-06-09,119.6078
2011-06-10,-9.8214
2011-06-13,-2.9703
2011-06-14,8.1633
2011-06-15,-27.3585
2011-06-16,55.8442
2011-06-21,-8.3333
