ticker,FCEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4913
2000-01-04,-5.9432
2000-01-05,-1.0989
2000-01-06,6.6667
2000-01-07,24.4792
2000-01-10,17.5732
2000-01-11,-11.21
2000-01-12,-4.6091999999999995
2000-01-13,-0.8403
2000-01-14,1.4830999999999999
2000-01-18,1.8789
2000-01-19,22.9508
2000-01-20,29.3333
2000-01-21,15.4639
2000-01-24,-17.8571
2000-01-25,-4.8913
2000-01-26,-2.5714
2000-01-27,0.0
2000-01-28,-7.3314
2000-01-31,-5.0633
2000-02-01,12.3333
2000-02-02,5.638
2000-02-03,7.0225
2000-02-04,6.0367
2000-02-07,-4.4554
2000-02-08,-0.5181
2000-02-09,-6.6406
2000-02-10,2.6499
2000-02-11,0.0
2000-02-14,9.7826
2000-02-15,3.4653
2000-02-16,4.5455
2000-02-17,4.119
2000-02-18,-5.0549
2000-02-22,19.4444
2000-02-23,10.0775
2000-02-24,-5.6338
2000-02-25,0.1866
2000-02-28,1.2104
2000-02-29,10.0276
2000-03-01,-2.6756
2000-03-02,0.8591
2000-03-03,18.9097
2000-03-06,-1.1461000000000001
2000-03-07,-9.2754
2000-03-08,4.4728
2000-03-09,-2.2936
2000-03-10,5.7120999999999995
2000-03-13,-1.1103
2000-03-14,-9.7305
2000-03-15,-10.2819
2000-03-16,1.6636
2000-03-17,10.3636
2000-03-20,-4.4481
2000-03-21,-7.5862
2000-03-22,4.4776
2000-03-23,18.75
2000-03-24,1.203
2000-03-27,-2.526
2000-03-28,-3.0488
2000-03-29,-5.5818
2000-03-30,-1.7485
2000-03-31,6.1017
2000-04-03,-10.5431
2000-04-04,-2.8571
2000-04-05,0.7353
2000-04-06,0.0
2000-04-07,-1.4599
2000-04-10,-7.037
2000-04-11,-5.2789
2000-04-12,-4.1009
2000-04-13,-14.2544
2000-04-14,-30.179
2000-04-17,5.4945
2000-04-18,10.7639
2000-04-19,0.627
2000-04-20,-1.0903
2000-04-24,-6.7717
2000-04-25,10.1351
2000-04-26,-1.6871
2000-04-27,2.3401
2000-04-28,-0.6098
2000-05-01,1.227
2000-05-02,3.0303
2000-05-03,-4.2647
2000-05-04,-5.6836
2000-05-05,3.4202
2000-05-08,-3.9370000000000003
2000-05-09,-1.6393
2000-05-10,-2.1667
2000-05-11,3.2368
2000-05-12,5.2805
2000-05-15,2.5078
2000-05-16,-0.3058
2000-05-17,0.3067
2000-05-18,-1.2232
2000-05-19,-0.3096
2000-05-22,-0.7764
