ticker,ATIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-03,-1.0
2019-05-06,-5.0505
2019-05-07,-6.383
2019-05-08,2.9545
2019-05-09,-0.6623
2019-05-10,-0.8889
2019-05-13,-1.7936999999999999
2019-05-14,-1.8265
2019-05-15,-0.6977
2019-05-16,1.3443
2019-05-17,1.6777
2019-05-20,-2.2727
2019-05-21,-6.9767
2019-05-22,2.0
2019-05-23,-2.6961
2019-05-24,0.7557
2019-05-28,-0.45
2019-05-29,-2.0618
2019-05-30,8.4643
2019-05-31,-5.6738
2019-06-03,-4.7619
2019-06-04,-5.2632
2019-06-05,1.3889
2019-06-06,6.7123
2019-06-07,-4.7497
2019-06-10,-0.1914
2019-06-11,-8.7202
2019-06-12,2.9586
2019-06-13,-0.5747
2019-06-14,1.1561
2019-06-17,-5.4286
2019-06-18,5.2326
2019-06-19,0.7694
2019-06-20,-3.2536
2019-06-21,-0.7598
2019-06-24,3.5608
2019-06-25,-2.0057
2019-06-26,0.8684
2019-06-27,-2.8901
2019-06-28,0.4
2019-07-01,-3.3716
2019-07-02,-2.1538
2019-07-03,-2.5157
2019-07-05,-5.4839
2019-07-08,4.4369
2019-07-09,0.7157
2019-07-10,0.5873
2019-07-11,0.9677
2019-07-12,-3.5144
2019-07-15,-1.3245
2019-07-16,2.3523
2019-07-17,-1.6425999999999998
2019-07-18,2.0
2019-07-19,2.2876
2019-07-22,2.5559
2019-07-23,2.8037
2019-07-24,-5.4545
2019-07-25,8.8141
2019-07-26,-2.7393
2019-07-29,-0.0606
2019-07-30,4.9606
2019-07-31,-5.0149
2019-08-01,-8.1976
2019-08-02,5.9497
2019-08-05,-1.5625
2019-08-06,0.3175
2019-08-07,0.9525
2019-08-08,-2.1974
2019-08-09,0.9615
2019-08-12,1.5873
2019-08-13,0.0
2019-08-14,-1.25
2019-08-15,0.3196
2019-08-16,0.9432
2019-08-19,-1.5625
2019-08-20,2.2222
2019-08-21,-3.1056
2019-08-22,2.5641
2019-08-23,0.625
2019-08-26,-3.1056
2019-08-27,-0.641
2019-08-28,-2.5806
2019-08-29,-0.6623
2019-08-30,0.0
2019-09-03,0.0
2019-09-05,4.0
2019-09-06,-5.7692
2019-09-09,0.3401
2019-09-10,1.3559
2019-09-11,-1.0033
2019-09-12,0.3378
2019-09-13,3.0303
2019-09-16,-6.5359
2019-09-17,1.7483
2019-09-18,2.4055
2019-09-19,1.0067
2019-09-20,-0.9967
2019-09-23,0.0
2019-09-24,-2.6846
