ticker,CJJD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-30,-25.3333
2008-07-09,-6.25
2008-07-31,19.0476
2008-09-04,0.0
2008-09-15,-16.0
2008-10-17,-47.619
2008-11-07,9.0909
2008-11-12,-33.3333
2009-04-06,-62.5
2009-09-23,300.0
2009-09-28,300.0
2009-09-29,-26.25
2009-10-05,32.7684
2009-10-13,6.383
2009-10-14,0.0
2009-10-15,4.0
2009-10-16,3.8462
2009-10-19,-7.4074
2009-10-21,-6.0
2009-10-22,14.8936
2009-10-26,3.7037
2009-11-06,-15.7143
2009-11-12,18.6441
2009-11-13,-5.3571
2009-12-03,-5.6604
2009-12-09,-16.0
2010-01-06,-4.7619
2010-01-13,-10.0
2010-01-14,0.5556
2010-01-15,-0.5525
2010-01-22,2.7778
2010-01-25,53.5135
2010-01-26,-22.5352
2010-01-28,0.0
2010-01-29,2.2727
2010-02-01,0.0
2010-02-04,22.2222
2010-02-05,9.0909
2010-02-08,-1.6667
2010-02-10,-1.6949
2010-02-11,-3.4483
2010-02-16,3.5714
2010-02-18,0.0
2010-02-22,-0.3448
2010-02-25,0.346
2010-02-26,0.0
2010-03-01,0.0
2010-03-02,-1.7241
2010-03-03,1.7544
2010-03-05,0.0
2010-03-10,-0.3448
2010-03-12,0.0
2010-03-15,0.346
2010-03-16,0.0
2010-03-17,0.0
2010-03-18,1.0345
2010-03-19,9.215
2010-03-22,3.125
2010-03-23,-4.5455
2010-03-24,5.3968
2010-03-26,5.4217
2010-03-29,21.4286
2010-03-30,2.3529
2010-03-31,3.4483
2010-04-01,10.8889
2010-04-05,0.0
2010-04-08,-19.8397
2010-04-09,-12.5
2010-04-12,7.1429
2010-04-13,26.6667
2010-04-15,-34.7368
2010-04-20,0.8065
2010-04-22,-23.52
2010-04-23,-2.7223
2010-04-26,3.0135
2010-04-27,-1.5030999999999999
2010-04-28,1.738
2010-04-29,0.625
2010-04-30,-1.6562999999999999
2010-05-03,1.0526
2010-05-04,-1.25
2010-05-05,-2.9536
2010-05-06,-2.1739
2010-05-07,-2.2222
2010-05-10,6.8182
2010-05-11,1.2766
2010-05-12,-0.2101
2010-05-13,2.1053
2010-05-14,-3.9175
2010-05-17,-0.2146
2010-05-18,1.0753
2010-05-19,-4.0426
2010-05-20,-6.8736
2010-05-21,0.0
2010-05-24,2.6189999999999998
2010-05-25,-2.5522
2010-05-26,3.5744
2010-05-27,4.3648
2010-05-28,-3.4141
2010-06-02,-1.9356
2010-06-04,0.0
