ticker,MGLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-01-07,0.1852
2004-01-08,1.2939
2004-01-09,3.1387
2004-01-12,2.6185
2004-01-13,-1.0345
2004-01-14,-1.0453
2004-01-15,2.1514
2004-01-16,-1.2099
2004-01-20,-2.268
2004-01-21,-0.3927
2004-01-22,-0.4301
2004-01-23,-1.3679000000000001
2004-01-26,0.2555
2004-01-27,-0.5461
2004-01-28,-2.8184
2004-01-29,-0.1883
2004-01-30,3.0189
2004-02-02,-2.1978
2004-02-03,0.7491
2004-02-04,-0.3717
2004-02-05,-0.7463
2004-02-06,-0.4135
2004-02-09,-0.3398
2004-02-10,-0.5682
2004-02-11,0.0
2004-02-12,1.4095
2004-02-13,1.4275
2004-02-17,1.4815
2004-02-18,0.1095
2004-02-19,0.0729
2004-02-20,-0.255
2004-02-23,-1.9722
2004-02-24,0.5961
2004-02-25,-0.4074
2004-02-26,-0.595
2004-02-27,1.0101
2004-03-01,1.6667
2004-03-02,1.1293
2004-03-03,-0.4107
2004-03-04,-0.8898
2004-03-05,1.0949
2004-03-08,-0.1805
2004-03-09,-0.434
2004-03-10,-3.1965
2004-03-11,-0.9381
2004-03-12,0.7576
2004-03-15,0.0376
2004-03-16,1.4656
2004-03-17,0.8519
2004-03-18,1.3588
2004-03-19,0.6522
2004-03-22,-0.144
2004-03-23,-0.1442
2004-03-24,-1.4801
2004-03-25,1.4291
2004-03-26,-0.1084
2004-03-29,0.1808
2004-03-30,1.4079
2004-03-31,0.0356
2004-04-01,-1.6014
2004-04-02,1.6275
2004-04-05,2.0641
2004-04-06,5.1255
2004-04-07,-0.4975
2004-04-08,1.6667
2004-04-12,1.3443
2004-04-13,-1.8117
2004-04-14,2.9654
2004-04-15,3.776
2004-04-16,1.6651
2004-04-19,0.8493
2004-04-20,0.6015
2004-04-21,0.4484
2004-04-22,0.3571
2004-04-23,0.4745
2004-04-26,0.0295
2004-04-27,-1.3277999999999999
2004-04-28,0.8373
2004-04-29,-2.9656000000000002
2004-04-30,-2.2005
2004-05-03,1.3125
2004-05-04,0.8328
2004-05-05,0.0306
2004-05-06,-2.1407
2004-05-07,-0.9375
2004-05-10,-3.9432
2004-05-11,-1.642
2004-05-12,0.601
2004-05-13,-0.1328
2004-05-14,0.8308
2004-05-17,0.5933
2004-05-18,1.4744
2004-05-19,0.9364
2004-05-20,-1.1516
2004-05-21,0.2913
2004-05-24,-0.839
2004-05-25,-2.5382
2004-05-26,0.1002
2004-05-27,0.0667
