ticker,LEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-10,1.2444
2009-11-11,5.7946
2009-11-12,5.7261
2009-11-13,2.0408
2009-11-16,3.0615
2009-11-17,-0.2538
2009-11-18,-1.6013
2009-11-19,-3.4221
2009-11-20,0.3937
2009-11-23,0.3922
2009-11-24,-0.4688
2009-11-25,0.314
2009-11-27,-0.626
2009-11-30,-0.8031
2009-12-01,0.1905
2009-12-02,-0.1585
2009-12-03,-0.127
2009-12-04,0.143
2009-12-07,-0.2698
2009-12-08,-0.3341
2009-12-09,0.2554
2009-12-10,-0.8599
2009-12-11,1.0119
2009-12-14,0.1749
2009-12-15,3.3651
2009-12-16,1.3667
2009-12-17,1.8937
2009-12-18,1.799
2009-12-21,-0.2483
2009-12-22,-0.0293
2009-12-23,-0.4101
2009-12-24,-0.0735
2009-12-28,0.4268
2009-12-29,0.4982
2009-12-30,-0.7728
2009-12-31,-0.6025
2010-01-04,2.5429
2010-01-05,3.417
2010-01-06,0.9619
2010-01-07,-0.29
2010-01-08,0.3739
2010-01-11,-0.4829
2010-01-12,-1.525
2010-01-13,0.4364
2010-01-14,0.0701
2010-01-15,-0.1961
2010-01-19,-0.3509
2010-01-20,0.0704
2010-01-21,-1.3371
2010-01-22,-1.5692
2010-01-25,1.3043
2010-01-26,0.1431
2010-01-27,-1.3571
2010-01-28,0.1014
2010-01-29,-0.463
2010-02-01,1.9186
2010-02-02,1.1979
2010-02-03,4.1714
2010-02-04,-3.6526
2010-02-05,-3.6085000000000003
2010-02-08,2.2433
2010-02-09,1.1398
2010-02-10,-0.6902
2010-02-11,0.3688
2010-02-12,-0.6501
2010-02-16,1.6216
2010-02-17,-1.4138
2010-02-18,-0.5111
2010-02-19,0.3282
2010-02-22,0.3414
2010-02-23,-1.2333
2010-02-24,-0.2297
2010-02-25,-0.8776
2010-02-26,0.537
2010-03-01,2.8439
2010-03-02,1.2913999999999999
2010-03-03,0.9008
2010-03-04,-0.7966
2010-03-05,2.1044
2010-03-08,0.6102
2010-03-09,-0.4717
2010-03-10,-0.0271
2010-03-11,-0.1219
2010-03-12,0.7594
2010-03-15,-0.2423
2010-03-16,-0.1619
2010-03-17,2.4459
2010-03-18,0.1847
2010-03-19,2.3568
2010-03-22,1.8136999999999999
2010-03-23,1.0739
2010-03-24,-0.375
2010-03-25,0.5646
2010-03-26,2.121
2010-03-29,-0.7941
2010-03-30,-1.1084
2010-03-31,-1.1831
2010-04-01,1.4115
2010-04-05,-0.2113
