ticker,EXDW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-21,-34.2857
2017-11-22,8.6957
2017-12-19,-56.0
2018-01-30,127.2727
2018-01-31,0.0
2018-02-07,0.0
2018-02-21,0.0
2018-02-22,104.0
2018-02-23,12.7451
2018-03-07,-13.0435
2018-03-08,17.0
2018-03-16,-11.1111
2018-03-21,1.9231
2018-03-22,0.0
2018-03-23,0.0
2018-04-06,50.9434
2018-04-10,19.375
2018-04-12,4.712
2018-05-08,0.0
2018-05-18,14.5
2018-05-21,0.4367
2018-05-22,8.6957
2018-05-23,4.0
2018-05-25,5.3846
2018-05-29,-27.0073
2018-05-31,25.0
2018-06-01,4.0
2018-06-05,-30.7692
2018-06-06,-16.6667
2018-06-29,0.0
2018-07-02,0.0
2018-07-13,-20.0
2018-07-26,0.0
2018-08-22,-8.3333
2018-09-14,0.0
2018-09-26,8.1818
2018-10-01,-6.7227
2018-10-02,7.2072
2018-10-03,4.2017
2018-10-04,-11.2903
2018-11-06,0.9091
2018-12-12,35.1351
2018-12-18,-21.6
2018-12-24,-3.0612
2019-01-10,-3.5088
2019-01-24,0.0
2019-02-07,9.0909
2019-10-22,16.65
2019-12-27,-14.2735
2020-02-14,0.0
2020-03-12,-15.0
2020-05-07,-11.7647
2020-06-01,8.8889
2020-06-05,2.0408
