ticker,GWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,2.3889
2014-10-20,0.0543
2014-10-21,2.1692
2014-10-22,-1.5393
2014-10-23,2.965
2014-10-24,1.3613
2014-10-27,-1.0847
2014-10-28,1.2533
2014-10-29,0.2063
2014-10-30,-0.1544
2014-10-31,0.1031
2014-11-03,2.3172
2014-11-04,-0.8556
2014-11-05,0.8629
2014-11-06,-0.151
2014-11-07,1.0081
2014-11-10,1.5469
2014-11-11,1.2285
2014-11-12,0.9709
2014-11-13,2.5
2014-11-14,0.8912
2014-11-17,-0.5114
2014-11-18,0.4673
2014-11-19,-1.1628
2014-11-20,2.2588
2014-11-21,0.1381
2014-11-24,1.7463
2014-11-25,0.0452
2014-11-26,0.9932
2014-11-28,-0.0447
2014-12-01,-1.2522
2014-12-02,1.2681
2014-12-03,0.4472
2014-12-04,1.3801999999999999
2014-12-05,1.6249
2014-12-08,0.4754
2014-12-09,-0.172
2014-12-10,-2.1973
2014-12-11,0.3524
2014-12-12,-4.2142
2014-12-15,-3.0247
2014-12-16,-1.0397
2014-12-17,3.8204000000000002
2014-12-18,1.4259
2014-12-19,-0.8617
2014-12-22,2.699
2014-12-23,0.2673
2014-12-24,-0.2221
2014-12-26,1.6919
2014-12-29,1.1821
2014-12-30,-0.8222
2014-12-31,-0.5672
2015-01-02,0.4388
2015-01-05,-1.7038
2015-01-06,-2.4889
2015-01-07,-0.1367
2015-01-08,0.4108
2015-01-09,-1.2727
2015-01-12,-0.1381
2015-01-13,-0.876
2015-01-14,-2.0465
2015-01-15,-4.321
2015-01-16,1.9851
2015-01-20,1.5572
2015-01-21,1.1021
2015-01-22,0.7583
2015-01-23,-2.1637
2015-01-26,-0.0962
2015-01-27,-1.4437
2015-01-28,0.1465
2015-01-29,1.0726
2015-01-30,-2.5567
2015-02-02,1.4356
2015-02-03,1.1713
2015-02-04,1.206
2015-02-05,1.7635999999999998
2015-02-06,0.1405
2015-02-09,-2.0112
2015-02-10,0.4773
2015-02-11,0.1911
2015-02-12,1.0968
2015-02-13,1.0849
2015-02-17,0.5133
2015-02-18,0.0464
2015-02-19,1.1601
2015-02-20,0.8716
2015-02-23,1.1369
2015-02-24,0.4946
2015-02-25,0.6264
2015-02-26,2.1343
2015-02-27,0.1306
2015-03-02,2.9130000000000003
2015-03-03,1.0562
2015-03-04,0.3763
2015-03-05,0.0833
2015-03-06,0.8739
2015-03-09,-1.4439
2015-03-10,-5.6928
