ticker,AGCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.8372
2000-01-04,2.551
2000-01-05,1.4925
2000-01-06,7.3529
2000-01-07,-1.3699
2000-01-10,-3.2407
2000-01-11,-5.2632
2000-01-12,1.5152
2000-01-13,-1.99
2000-01-14,9.6447
2000-01-18,2.7778
2000-01-19,-1.8018
2000-01-20,-5.0459
2000-01-21,-0.9662
2000-01-24,1.9512
2000-01-25,-7.177
2000-01-26,0.0
2000-01-27,-2.0619
2000-01-28,-3.6842
2000-01-31,1.6393
2000-02-01,2.1505
2000-02-02,-0.5263
2000-02-03,0.0
2000-02-04,-8.9947
2000-02-07,11.0465
2000-02-08,-3.6649000000000003
2000-02-09,-1.087
2000-02-10,-5.4945
2000-02-11,-5.1395
2000-02-14,9.2025
2000-02-15,0.0
2000-02-16,-1.1236
2000-02-17,-2.2727
2000-02-18,-1.7442
2000-02-22,2.3669000000000002
2000-02-23,0.0
2000-02-24,0.578
2000-02-25,2.2989
2000-02-28,2.2472
2000-02-29,-3.2967
2000-03-01,-1.1364
2000-03-02,-1.7241
2000-03-03,4.6784
2000-03-06,0.5587
2000-03-07,-3.3333
2000-03-08,-1.7241
2000-03-09,-4.6784
2000-03-10,1.8405
2000-03-13,-1.8072
2000-03-14,-1.227
2000-03-15,7.4534
2000-03-16,10.9827
2000-03-17,-4.6875
2000-03-20,2.1858
2000-03-21,2.6738
2000-03-22,0.5208
2000-03-23,-3.6269
2000-03-24,1.0753
2000-03-27,-6.383
2000-03-28,-0.5682
2000-03-29,1.1429
2000-03-30,2.8249
2000-03-31,0.0
2000-04-03,-2.7473
2000-04-04,-2.2599
2000-04-05,-2.3121
2000-04-06,2.3669000000000002
2000-04-07,1.1561
2000-04-10,-2.2857
2000-04-11,2.924
2000-04-12,9.6591
2000-04-13,0.5181
2000-04-14,-3.0928
2000-04-17,2.1277
2000-04-18,1.0417
2000-04-19,-4.1237
2000-04-20,2.6882
2000-04-24,-5.7592
2000-04-25,5.5556
2000-04-26,0.0
2000-04-27,-0.5263
2000-04-28,0.5291
2000-05-01,0.5263
2000-05-02,0.5236
2000-05-03,-1.5625
2000-05-04,1.0582
2000-05-05,-2.0942
2000-05-08,0.5348
2000-05-09,0.0
2000-05-10,2.6596
2000-05-11,-0.9534
2000-05-12,13.089
2000-05-15,0.463
2000-05-16,5.9908
2000-05-17,-3.0435
2000-05-18,-0.4484
2000-05-19,-4.5045
2000-05-22,0.0
2000-05-23,-3.7736
