ticker,CIICU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-13,1.8
2019-12-16,-0.4912
2019-12-17,-0.0987
2019-12-18,0.2964
2019-12-19,-0.2956
2019-12-20,0.0998
2019-12-23,-0.0997
2019-12-24,0.1966
2019-12-26,0.1805
2019-12-27,0.2146
2019-12-30,-0.2947
2019-12-31,0.0985
2020-01-02,0.0
2020-01-03,-0.2953
2020-01-06,0.1974
2020-01-07,0.0
2020-01-08,0.0837
2020-01-09,0.7038
2020-01-10,-0.0978
2020-01-13,0.5871
2020-01-14,-0.2179
2020-01-15,0.2174
2020-01-16,-0.2909
2020-01-17,0.5688
2020-01-21,-0.1775
2020-01-22,0.5831
2020-01-23,-0.4831
2020-01-24,0.0
2020-01-27,-0.1942
2020-01-29,0.1946
2020-01-30,0.9709
2020-01-31,0.0
2020-02-03,0.3135
2020-02-07,-0.7917
2020-02-10,0.4831
2020-02-11,-1.1538
2020-02-13,1.1673
2020-02-18,-0.3846
2020-02-25,0.0965
2020-02-28,-0.1929
2020-03-02,0.4831
2020-03-03,-0.4808
2020-03-04,-0.0966
2020-03-05,0.4197
2020-03-06,-0.1291
2020-03-09,0.0
2020-03-11,-0.3375
2020-03-12,-2.7576
2020-03-13,-0.3423
2020-03-16,-1.6534
2020-03-17,-1.0152
2020-03-18,-0.3077
2020-03-19,0.3086
2020-03-20,-1.5385
2020-03-23,-2.0833
2020-03-24,3.617
2020-03-26,-0.924
2020-03-27,1.0363
2020-03-31,0.5128
2020-04-03,0.0
2020-04-13,0.5102
2020-04-14,0.5076
2020-04-16,0.3586
2020-04-17,-0.8606
2020-04-23,0.0
2020-04-30,1.7259
2020-05-01,1.0937999999999999
2020-05-04,-0.7858
2020-05-13,-0.6468
2020-05-14,0.651
2020-05-15,-0.597
2020-05-18,-0.2002
2020-05-19,0.1003
2020-05-26,1.1022
2020-06-08,0.0
2020-06-10,-0.3964
2020-06-11,0.0
2020-06-15,-0.4975
2020-06-16,0.5
2020-06-17,-2.3881
2020-06-19,3.9755000000000003
2020-06-22,0.8824
2020-06-23,-0.243
2020-06-24,0.2435
2020-06-26,-0.3887
2020-06-30,0.0
2020-07-02,0.3902
2020-07-06,0.0972
2020-07-07,0.9709
2020-07-08,-0.7692
2020-07-10,2.0814
2020-07-13,0.3816
2020-07-14,-1.1811
2020-07-15,0.4775
2020-07-20,0.9524
2020-07-21,0.0
2020-07-23,1.7925
2020-07-24,-0.5561
2020-07-27,-0.5592
2020-07-31,-3.3739
