ticker,MNBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-10-18,8.8154
2005-05-23,-11.3924
2005-06-03,2.8571
2005-06-29,18.0556
2005-07-11,-2.3529
2006-01-17,0.0
2006-01-31,1.2048
2006-03-23,23.8095
2007-04-11,-8.461500000000001
2007-04-25,5.042
2007-08-15,-12.0
2007-08-21,2.2727
2007-11-05,6.0
2007-11-21,2.7254
2008-01-29,-7.1429
2008-01-30,2.1978
2008-02-01,0.0
2008-02-04,2.5806
2008-02-15,0.6289
2008-04-10,1.0417
2008-05-09,13.4021
2008-05-21,9.0909
2008-05-28,-1.6667
2008-05-29,0.0
2008-07-10,-0.8475
2008-07-11,1.7094
2008-07-14,-17.647100000000002
2008-07-17,6.1224
2008-07-18,-0.9615
2008-07-21,0.0
2008-09-09,-2.5243
2008-09-11,0.0
2008-10-20,0.0
2008-10-22,0.0
2008-10-23,0.0
2008-12-23,-10.3586
2008-12-31,0.0
2009-02-17,0.0
2009-02-20,0.0
2009-03-10,-11.1111
2009-03-12,12.5
2009-04-16,-11.1111
2009-04-17,0.0
2009-04-23,0.0
2009-04-24,0.0
2009-04-27,5.0
2009-04-30,0.0
2009-05-01,0.0
2009-05-06,0.0
2009-05-13,-1.1905000000000001
2009-07-09,0.4819
2009-07-10,1.9184999999999999
2009-07-13,0.0
2009-07-28,-2.3529
2009-07-30,0.0
2009-08-24,2.4096
2009-08-26,2.3529
2009-12-31,0.0
2010-04-12,-1.3793
2010-04-29,3.7296
2010-05-24,-2.2472
2010-06-22,0.0
2010-06-24,0.0
2010-07-27,0.0
2010-08-09,0.0
2010-08-26,0.0
2010-09-28,3.4483
2010-09-30,0.0
2010-12-21,-2.8889
2011-01-05,0.0
2011-01-07,0.2288
2011-01-20,0.0
2011-01-24,2.7397
2011-04-01,-2.8889
2011-04-05,-3.8902
2011-04-06,1.9048
2011-04-12,0.4673
2011-04-19,1.7442
2011-05-17,-1.1429
2011-06-23,-1.7341
2011-07-20,0.0
2011-07-26,0.0
2011-08-17,0.5988
2011-09-06,2.6189999999999998
2011-09-26,-4.8724
2011-10-04,0.0
2011-10-06,-1.2195
2011-10-20,-0.4938
2011-11-10,1.2407
2011-11-11,0.0
2011-11-15,0.0
2011-11-30,0.0
2011-12-21,0.0
2011-12-27,0.0
2011-12-28,0.0
2012-04-10,-3.8702
2012-05-30,5.1948
2012-05-31,1.2346
2012-06-29,0.0
2012-07-18,0.0
2012-08-02,-2.3578
2012-08-03,1.7786
2012-08-16,1.25
