ticker,LC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-11,56.2
2014-12-12,5.3777
2014-12-15,1.1341
2014-12-16,4.1249
2014-12-17,7.3077
2014-12-18,-3.4409
2014-12-19,-6.4217
2014-12-22,-4.5617
2014-12-23,-4.0732
2014-12-24,9.705400000000001
2014-12-26,1.6588
2014-12-29,-2.9526
2014-12-30,3.4027
2014-12-31,-2.0519
2015-01-02,-1.4625
2015-01-05,-3.7304
2015-01-06,-4.625
2015-01-07,-0.0437
2015-01-08,1.2238
2015-01-09,-0.6477
2015-01-12,-8.6919
2015-01-13,0.5712
2015-01-14,-0.3313
2015-01-15,4.8908000000000005
2015-01-16,0.0
2015-01-20,-0.0905
2015-01-21,-8.609
2015-01-22,-3.3713
2015-01-23,-2.1036
2015-01-26,4.7694
2015-01-27,3.0015
2015-01-28,-2.4769
2015-01-29,-3.1873
2015-01-30,-3.4465
2015-02-02,2.6105
2015-02-03,5.3479
2015-02-04,-1.1336
2015-02-05,1.0967
2015-02-06,0.7396
2015-02-09,5.7269
2015-02-10,-1.5741
2015-02-11,4.1863
2015-02-12,-3.07
2015-02-13,2.2357
2015-02-17,2.5057
2015-02-18,0.8
2015-02-19,-2.8219
2015-02-20,3.8566000000000003
2015-02-23,3.8007999999999997
2015-02-24,-0.463
2015-02-25,-13.277
2015-02-26,3.803
2015-02-27,-4.3213
2015-03-02,-1.8164
2015-03-03,0.15
2015-03-04,0.2496
2015-03-05,-1.0956
2015-03-06,0.8056
2015-03-09,-0.8991
2015-03-10,-1.6129
2015-03-11,0.1537
2015-03-12,-0.1023
2015-03-13,-2.3554
2015-03-16,0.9439
2015-03-17,-0.2597
2015-03-18,-0.1562
2015-03-19,3.9124
2015-03-20,0.8534
2015-03-23,3.6336
2015-03-24,-2.4496
2015-03-25,-2.8557
2015-03-26,-1.2164
2015-03-27,0.3079
2015-03-30,-0.9719
2015-03-31,1.4979
2015-04-01,-2.8499
2015-04-02,0.8905
2015-04-06,0.7269
2015-04-07,-1.2371
2015-04-08,-0.5219
2015-04-09,-3.4627
2015-04-10,-1.1413
2015-04-13,-0.8246
2015-04-14,4.2129
2015-04-15,3.1383
2015-04-16,0.6189
2015-04-17,-1.4864
2015-04-20,0.8845
2015-04-21,-0.2063
2015-04-22,-1.7570999999999999
2015-04-23,-0.9469
2015-04-24,-2.974
2015-04-27,-1.2042
2015-04-28,-0.1662
2015-04-29,-1.9423
2015-04-30,-1.245
2015-05-01,2.4069
2015-05-04,3.4695
