ticker,JBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-21,-3.5714
2008-07-23,0.0
2008-07-24,-2.963
2008-07-25,3.0534
2008-07-28,-3.7037
2008-07-29,-3.8462
2008-07-31,16.0
2008-08-01,-9.3103
2008-08-04,-6.3118
2008-08-05,5.3571
2008-08-06,1.6179000000000001
2008-08-07,-9.0978
2008-08-08,0.0
2008-08-11,-2.0017
2008-08-12,-2.8936
2008-08-13,-3.1551
2008-08-14,0.0905
2008-08-15,0.9042
2008-08-18,6.362
2008-08-19,4.802
2008-08-20,2.492
2008-08-21,-0.7059
2008-08-22,5.0553
2008-08-25,-6.0902
2008-08-26,-3.9231
2008-08-27,0.4167
2008-08-28,7.8008
2008-08-29,0.077
2008-09-02,0.7692
2008-09-03,-0.1527
2008-09-04,-1.8349
2008-09-05,2.2586
2008-09-08,1.6756
2008-09-09,-0.2996
2008-09-10,4.5079
2008-09-11,-2.2286
2008-09-12,1.5441
2008-09-15,-1.7379
2008-09-16,0.6632
2008-09-17,-0.9517
2008-09-18,1.0347
2008-09-19,2.7798
2008-09-22,-0.3559
2008-09-23,-0.2857
2008-09-24,-0.5014
2008-09-25,-0.4329
2008-09-26,0.7963
2008-09-29,-3.8737
2008-09-30,-5.5224
2008-10-01,-2.2907
2008-10-02,-10.671
2008-10-03,-0.4525
2008-10-06,-8.1818
2008-10-07,-8.5149
2008-10-08,7.1429
2008-10-09,4.4444
2008-10-10,-1.8375
2008-10-13,2.3645
2008-10-14,8.7584
2008-10-15,-20.2655
2008-10-16,5.9933
2008-10-17,2.0942
2008-10-20,-1.2308
2008-10-21,2.1807
2008-10-22,-2.9472
2008-10-23,0.2094
2008-10-24,-10.3448
2008-10-27,-1.7483
2008-10-28,2.9656000000000002
2008-10-29,0.9217
2008-10-30,-6.214
2008-10-31,2.8221
2008-11-03,8.1146
2008-11-04,0.9934
2008-11-05,-0.765
2008-11-06,-9.0308
2008-11-07,4.9637
2008-11-10,-12.3414
2008-11-11,7.6316
2008-11-12,-8.313
2008-11-13,9.7333
2008-11-14,-6.3183
2008-11-17,1.297
2008-11-18,1.5365
2008-11-19,0.1261
2008-11-20,-26.1965
2008-11-21,24.9147
2008-11-24,7.377
2008-11-25,6.743
2008-11-26,-9.416
2008-11-28,14.8684
2008-12-01,-15.8076
2008-12-02,18.7755
2008-12-03,-7.2165
2008-12-04,3.9506
2008-12-05,-3.8005
2008-12-08,6.1728
2008-12-09,-0.6977
2008-12-10,-7.6112
