ticker,ABTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-01,16.4773
2006-09-06,-12.1951
2006-09-11,11.1111
2006-09-12,-12.0
2006-09-13,2.2727
2006-09-14,-1.6667
2006-09-22,4.5198
2006-09-25,0.0
2006-09-29,0.0
2006-10-03,-1.0811
2006-10-12,-1.6393
2006-11-13,-2.2222
2006-11-17,0.0
2006-11-20,-3.4091
2006-11-22,3.5294
2006-11-29,0.0
2006-11-30,-0.5682
2006-12-01,-2.8571
2006-12-04,0.0
2006-12-07,5.8824
2006-12-08,0.0
2006-12-15,0.0
2006-12-18,0.0
2006-12-28,5.5556
2006-12-29,-4.7368
2007-01-03,6.6298
2007-01-04,-0.5181
2007-01-05,1.0417
2007-01-08,8.2474
2007-01-10,-8.5714
2007-01-12,9.375
2007-01-16,-8.5714
2007-01-18,1.0417
2007-01-19,1.0309
2007-01-24,3.5714
2007-01-29,-2.9557
2007-01-30,1.0152
2007-02-02,0.0
2007-02-05,2.5126
2007-02-13,2.9412000000000003
2007-02-14,0.0
2007-02-20,18.5714
2007-02-21,-3.6145
2007-02-22,0.0
2007-02-23,0.0
2007-02-26,-0.4167
2007-02-27,0.4184
2007-02-28,0.0
2007-03-01,0.0
2007-03-08,0.0
2007-03-09,-2.0833
2007-03-16,-4.2553
2007-03-19,2.2222
2007-03-20,1.7391
2007-03-21,0.0
2007-03-22,-5.9829
2007-03-27,4.5455
2007-03-28,0.0
2007-03-29,0.0
2007-03-30,0.0
2007-04-02,-4.3478
2007-04-17,4.5455
2007-04-18,0.0
2007-04-19,0.0
2007-04-20,0.0
2007-04-23,-0.4348
2007-04-24,0.0
2007-04-25,0.0
2007-04-26,-0.4367
2007-04-27,0.0
2007-04-30,0.4386
2007-05-01,-3.9301
2007-05-02,3.6364
2007-05-03,-3.5088
2007-05-07,-2.1818
2007-05-08,1.7658
2007-05-09,-4.1096
2007-05-10,4.6667
2007-05-11,0.091
2007-05-15,-2.2727
2007-05-18,2.3256
2007-05-25,-0.9091
2007-05-30,-7.3394
2007-05-31,8.4158
2007-06-20,0.0
2007-06-21,0.0
2007-06-22,0.0
2007-06-26,-4.1096
2007-06-27,0.0
2007-06-28,0.0
2007-06-29,-2.3810000000000002
2007-07-02,-0.4878
2007-07-11,-0.8824
2007-07-23,-0.4946
2007-07-26,-1.5905
2007-07-27,-3.5354
2007-07-31,-3.1414
2007-08-02,-4.3243
2007-08-06,4.5198
2007-08-07,8.1081
2007-08-08,0.0
2007-08-09,-5.0
