ticker,FRLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-13,-13.0
2005-04-14,-3.4483
2005-04-15,1.1905000000000001
2005-04-18,5.8824
2005-04-19,-1.1111
2005-04-20,17.9775
2005-04-21,0.9524
2005-04-22,8.4906
2005-04-25,4.3478
2005-04-26,0.8333
2005-04-27,0.0
2005-04-28,2.8926
2005-04-29,-1.6064
2005-05-02,2.8571
2005-05-03,-1.5873
2005-05-04,0.0
2005-05-05,-4.0323
2005-05-06,0.8403
2005-05-09,-0.4167
2005-05-10,1.2551999999999999
2005-05-11,-1.6529
2005-05-12,2.521
2005-05-13,-2.377
2005-05-16,-2.6029
2005-05-17,1.2931
2005-05-18,-2.0426
2005-05-19,-0.0869
2005-05-20,-0.8696
2005-05-23,-1.7544
2005-05-24,7.2321
2005-05-25,0.7494
2005-05-26,6.6116
2005-05-27,-3.1008
2005-05-31,-3.2
2005-06-01,-11.5702
2005-06-02,-2.8037
2005-06-03,10.5769
2005-06-06,-11.3043
2005-06-07,3.9215999999999998
2005-06-08,0.9434
2005-06-09,-5.6075
2005-06-10,1.9802
2005-06-13,-3.7864
2005-06-14,2.9263
2005-06-15,0.9804
2005-06-16,-2.9126
2005-06-17,0.0
2005-06-20,-11.0
2005-06-21,-14.6067
2005-06-22,10.526299999999999
2005-06-23,-5.9524
2005-06-24,4.9367
2005-06-27,-0.6031
2005-06-28,-0.4854
2005-06-29,3.0488
2005-06-30,2.9586
2005-07-01,9.7701
2005-07-05,-4.712
2005-07-06,-4.3956
2005-07-07,-8.046
2005-07-08,-5.0
2005-07-11,1.3158
2005-07-12,-1.4285999999999999
2005-07-13,-14.361
2005-07-14,-7.6923
2005-07-15,6.6667
2005-07-18,-11.0938
2005-07-19,-22.6714
2005-07-20,20.4545
2005-07-21,-5.6604
2005-07-22,0.0
2005-07-25,6.0
2005-07-26,3.7736
2005-07-27,-1.8182
2005-07-28,-1.1111
2005-07-29,-4.4944
2005-08-01,0.0
2005-08-02,-3.9215999999999998
2005-08-03,-6.1224
2005-08-04,-13.0435
2005-08-05,-2.5
2005-08-08,2.5641
2005-08-09,-2.5
2005-08-10,-3.8462
2005-08-11,6.6667
2005-08-12,-5.0
2005-08-15,-1.3158
2005-08-16,-4.0
2005-08-17,0.0
2005-08-18,0.0
2005-08-19,-6.9444
2005-08-22,-22.3881
2005-08-23,7.6923
2005-08-24,-7.1429
2005-08-25,-11.1538
2005-08-26,-6.9264
2005-08-29,4.6512
2005-08-30,-5.7778
