ticker,LLEXQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-24,-4.3478
2009-09-25,0.0
2009-09-28,-9.0909
2009-10-02,0.0
2009-10-08,-5.0
2009-10-09,10.526299999999999
2009-10-12,0.0
2009-10-13,0.0
2009-10-15,0.0
2009-10-16,0.0
2009-10-19,9.5238
2009-10-21,-4.3478
2009-10-26,-22.7273
2009-10-27,29.4118
2009-11-02,-9.0909
2009-11-03,10.0
2009-11-04,0.0
2009-11-05,-9.0909
2009-11-06,5.0
2009-11-09,-9.5238
2009-11-10,-5.2632
2009-11-11,0.0
2009-11-12,-11.1111
2009-11-13,18.75
2009-11-16,-10.526299999999999
2009-11-17,5.8824
2009-11-18,5.5556
2009-11-19,-15.7895
2009-11-23,6.25
2009-11-30,17.647100000000002
2009-12-01,-4.0
2009-12-02,-16.6667
2009-12-03,6.25
2009-12-04,5.8824
2009-12-08,-10.6667
2009-12-09,24.3781
2009-12-18,-15.0
2009-12-21,-5.8824
2009-12-22,12.5
2009-12-30,11.1111
2009-12-31,10.0
2010-01-07,-40.9091
2010-01-29,30.7692
2010-02-01,5.8824
2010-02-03,-44.4444
2010-02-04,100.0
2010-02-25,-10.2
2010-02-26,0.2227
2010-03-03,-11.1111
2010-03-29,-25.0
2010-03-30,33.3333
2010-03-31,0.0
2010-04-05,-2.5
2010-04-08,-30.7692
2010-04-15,-20.7407
2010-04-16,61.215
2010-04-19,-42.029
2010-04-30,72.5
2010-05-03,-42.029
2010-05-04,-75.0
2010-05-07,500.0
2010-05-10,-33.3333
2010-05-14,0.0
2010-05-17,0.0
2010-05-18,25.0
2010-05-20,37.6
2010-05-26,16.2791
2010-05-27,-37.5
2010-05-28,60.0
2010-06-04,-25.0
2010-06-07,-33.3333
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-14,0.0
2010-06-15,12.5
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,-8.8889
2010-06-21,-7.3171
2010-06-22,-4.7368
2010-06-23,24.3094
2010-06-29,6.6667
2010-06-30,4.1667
2010-07-06,-20.0
2010-07-08,0.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-13,-7.5
2010-07-14,-5.4122
2010-07-15,0.0071
2010-07-19,0.0
2010-07-20,0.0
2010-07-23,25.7143
2010-07-28,-18.1818
2010-07-29,11.1111
2010-07-30,12.5
2010-08-02,-11.1111
2010-08-04,0.0
2010-08-06,5.0
2010-08-09,0.0
2010-08-10,-4.7619
