ticker,UAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-08,9.6875
2011-04-11,-1.5385
2011-04-12,-1.2731
2011-04-13,1.7585
2011-04-14,-2.0737
2011-04-15,5.1765
2011-04-18,0.2796
2011-04-19,2.2309
2011-04-20,3.6552
2011-04-21,-0.0526
2011-04-25,5.6872
2011-04-26,-0.3488
2011-04-27,-0.5
2011-04-28,-2.3116
2011-04-29,-1.5432000000000001
2011-05-02,-2.3511
2011-05-03,-2.6217
2011-05-04,2.4176
2011-05-05,0.0
2011-05-06,4.7076
2011-05-09,3.5993
2011-05-10,0.7418
2011-05-11,-1.9637
2011-05-12,-2.1182
2011-05-13,-2.8502
2011-05-16,-1.2631999999999999
2011-05-17,-0.48
2011-05-18,-2.3044000000000002
2011-05-19,-0.5485
2011-05-20,0.6067
2011-05-23,-1.3158
2011-05-24,0.9444
2011-05-25,2.1464
2011-05-26,0.5927
2011-05-27,6.9094999999999995
2011-05-31,0.0
2011-06-01,-1.1022
2011-06-02,2.1277
2011-06-03,0.8358
2011-06-06,-0.7797
2011-06-07,-0.7933
2011-06-08,-0.5497
2011-06-09,0.804
2011-06-10,5.7827
2011-06-13,1.1781
2011-06-14,1.3041
2011-06-15,0.8736
2011-06-16,-6.5634
2011-06-17,1.3171
2011-06-20,2.4555
2011-06-21,2.0207
2011-06-22,2.1188
2011-06-23,-0.7668
2011-06-24,-0.5455
2011-06-27,3.2907
2011-06-28,-0.0442
2011-06-29,2.479
2011-06-30,-2.9806
2011-07-01,-0.7124
2011-07-05,2.1076
2011-07-06,1.7567
2011-07-07,2.4169
2011-07-08,1.1378
2011-07-11,-4.1667
2011-07-12,1.2609
2011-07-13,-0.0429
2011-07-14,1.4175
2011-07-15,1.9907
2011-07-18,1.7442
2011-07-19,2.0
2011-07-20,2.0408
2011-07-21,-2.6667
2011-07-22,-0.6849
2011-07-25,1.1764999999999999
2011-07-26,-1.5638
2011-07-27,-4.1955
2011-07-28,-1.1054
2011-07-29,0.8169
2011-08-01,2.2175
2011-08-02,-3.0872
2011-08-03,-0.1851
2011-08-04,-3.1168
2011-08-05,-2.3561
2011-08-08,-5.3364
2011-08-09,1.6667
2011-08-10,1.4947
2011-08-11,9.5487
2011-08-12,4.0763
2011-08-15,-0.2083
2011-08-16,-2.2129
2011-08-17,-0.2562
2011-08-18,-3.2534
2011-08-19,-2.6106
2011-08-22,-2.4989
2011-08-23,3.2153
2011-08-24,0.6321
2011-08-25,0.0897
2011-08-26,3.6531000000000002
