ticker,BCDI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-24,36.3636
2009-05-04,33.3333
2009-05-21,20.0
2009-07-20,-30.5833
2009-07-21,-0.3601
2009-08-10,-2.4096
2009-11-16,-1.2346
2009-12-07,-99.875
2009-12-08,79900.0
2009-12-29,0.0
2009-12-30,0.0
2010-01-08,0.0
2010-01-28,25.0
2010-01-29,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,-0.1
2010-02-11,5.1051
2010-02-16,-1.9048
2010-02-17,0.9709
2010-02-19,0.0
2010-02-22,0.0
2010-02-23,0.0
2010-02-24,-2.8846
2010-02-26,1.9802
2010-03-01,0.0
2010-03-03,-1.9417
2010-03-08,0.0
2010-03-09,1.9802
2010-03-11,-1.9417
2010-03-12,2.9703
2010-03-16,-1.9231
2010-03-17,-1.9607999999999999
2010-03-22,5.0
2010-03-23,0.0
2010-03-24,-3.8095
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,1.9802
2010-03-31,0.0
2010-04-01,1.9417
2010-04-05,-3.8095
2010-04-06,3.9604
2010-04-07,-2.8571
2010-04-08,0.9804
2010-04-09,-0.9709
2010-04-12,0.9804
2010-04-13,1.9417
2010-04-15,-2.8571
2010-04-16,0.0
2010-04-20,-0.9804
2010-04-21,1.9802
2010-04-22,1.9417
2010-04-26,-1.9048
2010-04-27,-0.9709
2010-04-29,-0.9804
2010-04-30,1.9802
2010-05-03,0.0
2010-05-04,-2.9126
2010-05-05,3.0
2010-05-06,1.9417
2010-05-07,-0.9524
2010-05-12,0.9615
2010-05-14,-4.7619
2010-05-17,0.5
2010-05-18,6.4677
2010-05-19,2.8037
2010-05-20,-4.5455
2010-05-25,-4.7619
2010-05-27,0.0
2010-06-02,-5.0
2010-06-03,6.3158
2010-06-04,-10.8911
2010-06-08,10.0
2010-06-09,-1.0101
2010-06-10,0.0
2010-06-11,0.0
2010-06-14,0.0
2010-06-15,-1.0204
2010-06-16,3.0928
2010-06-17,-10.0
2010-06-18,11.1111
2010-06-22,0.0
2010-06-24,-5.0
2010-07-13,-5.2632
2010-07-14,0.0
2010-07-15,0.0
2010-07-22,10.0
2010-07-23,0.0
2010-07-26,-4.0404
2010-07-27,-21.0526
2010-07-30,27.8667
2010-08-11,0.0
2010-08-30,-0.9385
2010-09-03,-7.3684
2010-09-07,1.1364
2010-09-09,-26.9663
2010-09-10,30.7692
2010-09-13,-17.647100000000002
2010-09-14,21.4286
