ticker,SLRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-14,0.0
2007-11-28,1.0
2007-12-20,-0.495
2008-01-07,0.4975
2008-01-17,-0.9901
2008-01-22,0.0
2008-02-15,-2.0
2008-02-19,7.1429
2008-02-20,-7.1429
2008-03-06,-2.5641
2008-03-07,10.526299999999999
2008-03-17,-6.6667
2008-05-02,-5.6122
2008-05-05,7.027
2008-06-12,-2.0202
2008-06-27,-4.6392
2008-08-08,0.0
2008-08-28,2.7027
2008-09-29,-0.5263
2008-09-30,-15.3439
2008-10-10,0.0
2008-11-18,-0.625
2008-11-25,0.6289
2008-12-12,0.0
2008-12-30,0.0
2009-01-12,-6.25
2009-01-30,-5.3333
2009-03-03,-4.2254
2009-03-18,-14.7059
2009-03-23,-5.1724
2009-03-24,0.0
2009-04-06,-4.5455
2009-04-09,4.7619
2009-04-14,-4.5455
2009-04-17,4.7619
2009-04-20,-4.5455
2009-04-23,-4.7619
2009-04-30,13.0
2009-05-06,-2.6549
2009-05-26,9.0909
2009-05-27,0.0
2009-06-15,0.0
2009-06-25,8.3333
2009-07-08,-7.6923
2009-07-09,4.1667
2009-07-14,1.6
2009-08-06,0.7874
2009-08-21,-4.6875
2009-08-24,-5.7377
2009-09-03,0.0
2009-09-11,0.8696
2009-09-14,0.0
2009-09-17,-0.8621
2009-09-23,4.3478
2009-09-24,-1.6667
2009-10-16,-6.7797
2009-10-30,4.5455
2009-11-24,-4.3478
2009-11-25,-4.5455
2009-12-08,0.0
2009-12-11,0.0
2009-12-18,4.7619
2009-12-23,0.0
2009-12-30,-3.6364
2010-01-05,1.8868
2010-01-19,0.0
2010-01-21,-2.7778
2010-01-26,-3.8095
2010-01-28,0.0
2010-02-03,3.9604
2010-02-04,3.8095
2010-02-05,-0.9174
2010-02-11,-2.7778
2010-03-03,-4.7619
2010-03-17,-2.0
2010-03-19,0.0
2010-03-22,-4.0816
2010-04-15,-2.1277
2010-04-28,4.3478
2010-05-14,0.0
2010-05-20,3.125
2010-06-02,-12.1212
2010-06-10,0.0
2010-06-30,2.7586
2010-08-26,-9.396
2010-08-27,0.0
2010-09-08,1.2346
2010-09-09,7.3171
2010-09-10,-1.1364
2010-09-14,3.4483
2010-10-28,-20.0
2010-11-01,-2.7778
2010-11-02,14.2857
2010-11-16,-6.25
2010-12-15,0.0
2010-12-16,-6.6667
2010-12-30,2.8571
2011-01-12,-16.6667
2011-01-14,0.0
2011-01-31,0.0
2011-02-01,11.6667
2011-02-03,-8.9552
