ticker,ZDEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-21,-32.5
2014-10-29,0.0
2014-10-31,0.0
2014-11-04,-14.8148
2014-11-05,14.7826
2014-11-06,-0.7576
2014-11-07,-0.7634
2014-11-10,1.5385
2014-11-11,0.0
2014-11-12,0.0
2014-11-14,2.2727
2014-11-21,0.0
2014-11-25,0.0
2014-12-03,-2.2222
2014-12-04,0.0
2014-12-10,2.2727
2014-12-19,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,2.2222
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-16,0.0
2015-01-20,-2.1739
2015-01-22,0.0
2015-01-26,-2.2222
2015-01-28,4.5455
2015-01-29,0.0
2015-01-30,-6.5217
2015-02-04,-6.9767
2015-02-06,8.3333
2015-02-09,0.0
2015-02-10,0.0
2015-02-20,-3.8462
2015-02-23,4.0
2015-02-24,0.7692
2015-03-03,0.7634
2015-03-10,6.0606
2015-03-11,0.0
2015-03-12,-3.5714
2015-03-13,-11.1111
2015-03-17,16.6667
2015-03-20,-1.4285999999999999
2015-03-25,-2.1739
2015-03-26,3.7037
2015-03-27,0.0089
2015-04-06,3.5622
2015-04-22,6.8966
2015-04-28,-3.2258
2015-04-30,3.3333
2015-05-04,0.0
2015-05-07,0.0
2015-05-08,1.9355
2015-05-11,1.8987
2015-05-12,-0.6289
2015-05-13,-6.2427
2015-05-14,2.6667
2015-05-15,-1.2987
2015-05-19,5.9211
2015-05-20,1.8711
2015-05-21,0.6021
2015-05-26,-6.0606
2015-05-27,2.5806
2015-05-28,3.7736
2015-05-29,-3.0303
2015-06-02,3.125
2015-06-03,0.0
2015-06-09,-3.0303
2015-06-15,-6.25
2015-06-17,-6.6667
2015-06-23,11.4286
2015-06-26,-0.641
2015-06-30,-3.2258
2015-07-07,-23.3333
2015-07-08,-13.0435
2015-07-09,60.0
2015-07-10,0.0
2015-07-13,-5.0
2015-07-14,2.6316
2015-07-15,-35.8974
2015-07-17,9.0
2015-07-21,-8.2569
2015-07-22,0.0
2015-07-29,-19.0
2015-08-03,16.9136
2015-08-04,4.5407
2015-08-06,-9.0909
2015-08-07,-1.1111
2015-08-10,-4.4944
2015-08-11,-3.4118
2015-08-12,-31.7905
2015-08-18,25.0
2015-08-19,-7.1429
2015-08-20,-13.8462
2015-08-21,-28.5714
2015-08-24,-25.0
2015-08-25,33.3333
2015-08-26,12.5
2015-08-27,33.3333
2015-08-31,0.0
2015-09-03,8.3333
