ticker,PFSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-09,6.1111
2013-05-10,2.6178
2013-05-13,-1.4796
2013-05-14,1.0357
2013-05-15,1.0251
2013-05-16,1.6235
2013-05-17,-0.1498
2013-05-20,8.3
2013-05-21,3.6473
2013-05-22,-3.608
2013-05-23,2.0333
2013-05-24,-1.8569
2013-05-28,-0.6922
2013-05-29,-1.5335
2013-05-30,3.7282
2013-05-31,-0.8189
2013-06-03,-3.0275
2013-06-04,1.4191
2013-06-05,-0.2332
2013-06-06,-1.8233000000000001
2013-06-07,-2.4762
2013-06-10,-0.1465
2013-06-11,-0.2445
2013-06-12,2.9901999999999997
2013-06-13,0.0952
2013-06-14,-0.0476
2013-06-17,2.8068999999999997
2013-06-18,1.1106
2013-06-19,-0.2288
2013-06-20,-1.7431
2013-06-21,-0.3735
2013-06-24,-1.5464
2013-06-25,0.4284
2013-06-26,-1.5166
2013-06-27,1.2031
2013-06-28,1.1412
2013-07-01,-0.2351
2013-07-02,0.4241
2013-07-03,-0.7508
2013-07-05,-2.6005000000000003
2013-07-08,-0.9223
2013-07-09,1.6169
2013-07-10,-0.0964
2013-07-11,0.8687
2013-07-12,-2.6794000000000002
2013-07-15,-0.9341
2013-07-16,-0.7444
2013-07-17,-0.35
2013-07-18,0.1004
2013-07-19,0.1003
2013-07-22,0.0
2013-07-23,-0.6009
2013-07-24,0.0
2013-07-25,0.2519
2013-07-26,-3.9196
2013-07-29,2.4582
2013-07-30,-0.6636
2013-07-31,0.7194
2013-08-01,1.8878
2013-08-02,-1.0516
2013-08-05,0.2024
2013-08-06,-0.8586
2013-08-07,-1.2226
2013-08-08,-2.0629
2013-08-09,-4.634
2013-08-12,-0.497
2013-08-13,0.2775
2013-08-14,0.2767
2013-08-15,-2.7594
2013-08-16,-1.8161
2013-08-19,-1.1561
2013-08-20,-1.6374
2013-08-21,-3.6266
2013-08-22,0.3701
2013-08-23,-1.0449
2013-08-26,5.4658
2013-08-27,-1.5312000000000001
2013-08-28,0.4785
2013-08-29,3.2143
2013-08-30,-1.5571000000000002
2013-09-03,-0.9959
2013-09-04,3.5503
2013-09-05,-4.1143
2013-09-06,3.2181
2013-09-09,1.2702
2013-09-10,1.4823
2013-09-11,1.1236
2013-09-12,0.1667
2013-09-13,4.7698
2013-09-16,-0.7411
2013-09-17,0.8533
2013-09-18,0.1586
2013-09-19,-1.8479
2013-09-20,0.4841
2013-09-23,0.5353
2013-09-24,-0.426
2013-09-25,-0.2139
