ticker,ZNTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-03,28.8889
2020-04-06,5.1293
2020-04-07,-2.624
2020-04-08,4.4211
2020-04-09,-1.9758
2020-04-13,-1.6865
2020-04-14,5.1046
2020-04-15,-2.5478
2020-04-16,-0.4085
2020-04-17,0.7383
2020-04-20,-1.7915
2020-04-21,5.9701
2020-04-22,4.8122
2020-04-23,6.1963
2020-04-24,7.2056000000000004
2020-04-27,4.1311
2020-04-28,11.9962
2020-04-29,1.6587
2020-04-30,-2.9314
2020-05-01,-10.8547
2020-05-04,2.0454
2020-05-05,4.1654
2020-05-06,-0.8419
2020-05-07,-3.1837
2020-05-08,4.1967
2020-05-11,3.697
2020-05-12,3.3043
2020-05-13,2.413
2020-05-14,4.0
2020-05-15,-5.5058
2020-05-18,10.5381
2020-05-19,12.6356
2020-05-20,-8.0385
2020-05-21,-2.5079000000000002
2020-05-22,-2.4226
2020-05-26,1.4588999999999999
2020-05-27,5.2472
2020-05-28,-1.0067
2020-05-29,26.4407
2020-06-01,-5.496
2020-06-02,4.2756
2020-06-03,-1.2631000000000001
2020-06-04,-4.566
2020-06-05,-5.96
2020-06-08,3.3772
2020-06-09,4.7518
2020-06-10,-6.9866
2020-06-11,-10.5813
2020-06-12,2.1427
2020-06-15,11.7521
2020-06-16,0.8319
2020-06-17,10.5352
2020-06-18,-0.2871
2020-06-19,1.9578
2020-06-22,-8.8667
2020-06-23,1.7351999999999999
2020-06-24,4.7107
2020-06-25,6.2633
2020-06-26,-12.6825
2020-06-29,-4.9739
2020-06-30,5.6081
2020-07-01,-0.4581
2020-07-02,0.3556
2020-07-06,-8.0884
2020-07-07,-3.266
2020-07-08,-0.2579
2020-07-09,-3.3145
2020-07-10,-2.7474
2020-07-13,-1.75
2020-07-14,6.7176
2020-07-15,1.526
2020-07-16,-5.0493
2020-07-17,1.7314
2020-07-20,5.0085
2020-07-21,-3.7509
2020-07-22,1.4193
2020-07-23,-3.0835
2020-07-24,-3.0592
2020-07-27,0.9846
2020-07-28,-5.15
2020-07-29,-4.0327
2020-07-30,-3.7077999999999998
2020-07-31,-1.5973000000000002
