ticker,FIXX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-28,16.625
2018-03-29,0.2144
2018-04-02,-5.2406
2018-04-03,-6.9413
2018-04-04,7.0952
2018-04-05,5.8324
2018-04-06,-3.4778000000000002
2018-04-09,-1.9956
2018-04-10,-4.2421
2018-04-11,11.3999
2018-04-12,6.2036
2018-04-13,-0.1498
2018-04-16,1.85
2018-04-17,2.9455
2018-04-18,2.0505
2018-04-19,-1.8692
2018-04-20,-2.8571
2018-04-23,-2.451
2018-04-24,0.9045
2018-04-25,-0.3486
2018-04-26,3.1484
2018-04-27,1.0174
2018-04-30,-4.1247
2018-05-01,0.4502
2018-05-02,2.0916
2018-05-03,3.5122
2018-05-04,1.5551
2018-05-07,-2.0882
2018-05-08,0.7109
2018-05-09,-1.2235
2018-05-10,-1.9533
2018-05-11,-1.9436
2018-05-14,-3.7166
2018-05-15,-0.2059
2018-05-16,0.8767
2018-05-17,-1.0735999999999999
2018-05-18,2.6357
2018-05-21,-0.6546
2018-05-22,1.5205
2018-05-23,-1.2981
2018-05-24,0.2023
2018-05-25,0.3029
2018-05-29,-1.2582
2018-05-30,2.4465
2018-05-31,0.1493
2018-06-01,0.3477
2018-06-04,1.2376
2018-06-05,-2.2494
2018-06-06,4.5523
2018-06-07,0.3828
2018-06-08,-1.5253
2018-06-11,-1.7425000000000002
2018-06-12,-2.3645
2018-06-13,-0.7064
2018-06-14,0.813
2018-06-15,-1.3609
2018-06-18,-4.65
2018-06-19,2.1436
2018-06-20,5.5614
2018-06-21,-1.5408
2018-06-22,4.7451
2018-06-25,-4.3373
2018-06-26,-0.2519
2018-06-27,0.5051
2018-06-28,-0.1508
2018-06-29,2.6673
2018-07-02,-0.7843
2018-07-03,0.0
2018-07-05,1.7787
2018-07-06,3.8834999999999997
2018-07-09,4.5794
2018-07-10,0.4915
2018-07-11,-7.5588999999999995
2018-07-12,4.5695
2018-07-13,0.092
2018-07-16,-0.6893
2018-07-17,-0.7867
2018-07-18,-2.7052
2018-07-19,2.6366
2018-07-20,0.3737
2018-07-23,-1.6287
2018-07-24,-5.4872
2018-07-25,-2.4024
2018-07-26,-0.8718
2018-07-27,-2.0693
2018-07-30,-6.8674
2018-07-31,-0.1134
2018-08-01,-0.2271
2018-08-02,0.9106
2018-08-03,-5.5274
2018-08-06,0.597
2018-08-07,-1.4837
2018-08-08,-1.0843
2018-08-09,-0.3045
2018-08-10,-5.0703
2018-08-13,0.8366
2018-08-14,7.4027
2018-08-15,-1.3666
