ticker,OGSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-07,8.3333
2008-05-09,0.0
2008-05-20,15.3846
2008-05-22,6.6667
2008-05-23,3.125
2008-05-27,6.0606
2008-05-28,13.7143
2008-05-29,0.5025
2008-05-30,0.0
2008-06-02,12.5
2008-06-04,0.0
2008-06-05,2.6667
2008-06-06,8.2251
2008-06-09,-4.0
2008-06-10,14.5833
2008-06-11,-1.8182
2008-06-12,1.8519
2008-06-16,5.4545
2008-06-17,-1.7241
2008-06-19,0.0
2008-06-20,0.0
2008-06-23,-43.8596
2008-06-24,28.125
2008-06-25,-2.439
2008-06-27,-14.5
2008-06-30,-6.4327
2008-07-01,-12.5
2008-07-02,-25.0
2008-07-03,4.7619
2008-07-07,0.0
2008-07-08,9.0909
2008-07-09,0.0
2008-07-10,-4.1667
2008-07-11,-8.6957
2008-07-14,-2.8571
2008-07-15,-0.9804
2008-07-17,0.0
2008-07-18,0.0
2008-07-23,-15.8416
2008-07-24,23.5294
2008-07-25,-3.8095
2008-07-28,0.0
2008-07-29,3.9604
2008-07-30,0.0
2008-08-05,0.0
2008-08-06,0.0
2008-08-07,-3.8095
2008-08-08,-44.5545
2008-08-11,23.2143
2008-08-13,2.8986
2008-08-14,1.4085
2008-08-20,-9.7222
2008-08-29,0.0
2008-09-02,-7.6923
2008-09-03,0.0
2008-09-18,-8.3333
2008-09-19,-9.0909
2008-09-22,-10.0
2008-09-23,33.3333
2008-09-24,-33.3333
2008-10-17,50.0
2008-10-22,-16.6667
2008-10-24,-10.0
2008-10-28,0.0
2008-10-29,0.0
2008-11-18,0.0
2008-11-24,-22.2222
2008-11-28,0.0
2008-12-02,8.5714
2008-12-15,-34.2105
2008-12-16,0.0
2008-12-23,-20.0
2008-12-24,0.0
2008-12-31,0.0
2009-01-08,50.0
2009-01-12,0.0
2009-01-13,-16.6667
2009-01-14,0.0
2009-02-20,0.0
2009-03-11,0.0
2009-03-12,4.0
2009-03-16,53.8462
2009-03-30,22.5
2009-03-31,-28.5714
2009-04-01,-14.2857
2009-04-06,50.0
2009-04-29,-33.3333
2009-05-26,-60.0
2009-05-28,308.3333
2009-05-29,-75.5102
2009-06-05,-16.6667
2009-06-25,0.0
2009-07-02,-45.0
2009-07-08,172.7273
2009-07-15,0.0
2009-07-28,0.0
2009-07-29,-26.6667
2009-07-31,63.6364
2009-08-03,-16.6667
2009-08-06,33.3333
2009-08-10,-10.0
2009-08-11,-13.8889
2009-08-13,-3.2258
