ticker,MAOMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-12-11,-20.0
2002-07-31,81.25
2003-01-06,10.3448
2003-04-14,-18.75
2003-06-06,7.6923
2003-09-09,32.1429
2003-09-23,-5.9459
2003-11-17,43.6782
2003-11-18,0.0
2003-11-19,4.0
2003-11-20,-15.3846
2003-11-21,4.5455
2003-11-24,-13.0435
2003-11-26,30.0
2003-12-01,-11.538499999999999
2003-12-02,15.6522
2003-12-30,-24.812
2004-01-05,4.0
2004-01-12,-13.461500000000001
2004-02-19,19.4444
2004-06-30,-34.8837
2004-08-11,-55.8929
2004-08-30,-2.834
2005-01-05,100.0
2005-01-21,-22.2222
2005-10-11,7.1429
2005-10-12,-0.7083
2005-10-18,-29.5006
2005-10-19,7.1429
2005-10-20,23.9444
2005-11-02,-17.5258
2005-11-07,17.3913
2005-11-14,3.5648
2005-12-05,-14.1708
2005-12-07,17.0833
2005-12-12,12.0996
2005-12-16,20.3175
2006-01-25,35.8839
2006-01-31,36.8932
2006-02-13,-14.8493
2006-02-23,23.3524
2006-02-24,-5.7562
2006-02-27,-14.0247
2006-02-28,13.25
2006-03-06,44.2237
2006-03-09,-10.7972
2006-03-10,-2.8811999999999998
2006-03-14,-2.9814
2006-03-15,-2.5116
2006-03-16,-0.3736
2006-03-17,-6.25
2006-03-20,10.2667
2006-03-22,-5.6832
2006-03-23,-0.2564
2006-03-27,9.2545
2006-04-10,-15.1985
2006-04-11,-8.6708
2006-04-17,-11.8959
2006-04-18,-8.6207
2006-04-19,0.0
2006-04-21,1.8868
2006-04-25,5.5556
2006-04-26,0.8772
2006-05-02,5.7935
2006-05-05,2.8563
2006-05-08,1.4884
2006-05-11,-13.1004
2006-05-15,1.4837
2006-05-24,-2.433
2006-05-31,31.7776
2006-06-14,-3.559
2006-06-19,9.0369
2006-07-12,-24.872
2006-07-17,25.6675
2006-07-18,-0.9006
2006-07-21,-1.5087000000000002
2006-07-24,-1.4870999999999999
2006-07-26,1.846
2006-07-31,-2.0714
2006-08-02,2.9905
2006-08-03,0.0531
2006-08-09,-4.4859
2006-08-11,6.5401
2006-08-16,-0.9651
2006-08-17,-6.6111
2006-08-28,-0.9965
2006-08-31,9.8756
2006-09-01,-5.7644
2006-09-05,6.3371
2006-09-06,1.285
2006-09-07,-1.3794
2006-09-08,-0.518
2006-09-13,-3.7493
2006-09-14,-2.11
2006-09-22,-2.7266
2006-09-25,4.697
2006-09-29,9.5514
2006-10-02,1.0568
2006-10-05,-7.8431
