ticker,EYEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-25,-0.8
2018-01-26,0.3024
2018-01-29,-0.1005
2018-01-30,-3.4205
2018-01-31,-0.1042
2018-02-01,-5.0052
2018-02-02,-0.6586
2018-02-05,-0.663
2018-02-06,-4.6719
2018-02-07,0.2334
2018-02-08,3.2596
2018-02-09,2.593
2018-02-12,-2.7473
2018-02-13,1.6949
2018-02-14,-1.3333
2018-02-15,-1.464
2018-02-16,2.8571
2018-02-20,5.4444
2018-02-21,4.3214
2018-02-22,-4.0414
2018-02-23,0.5263
2018-02-26,-1.2565
2018-02-27,-2.5451
2018-02-28,2.2851
2018-03-01,-6.383
2018-03-02,-1.8182
2018-03-05,3.588
2018-03-06,3.9106
2018-03-07,-2.6892
2018-03-08,1.5481
2018-03-09,0.5528
2018-03-12,-2.1189
2018-03-13,-0.387
2018-03-14,-1.9978
2018-03-15,-0.5663
2018-03-16,-3.0752
2018-03-19,-1.1751
2018-03-20,-3.5672
2018-03-21,4.8088999999999995
2018-03-22,0.0
2018-03-23,5.2941
2018-03-26,-2.4615
2018-03-27,5.3874
2018-03-28,-2.1739
2018-03-29,1.6667
2018-04-02,-4.235
2018-04-03,4.9929
2018-04-04,3.1522
2018-04-05,-0.1054
2018-04-06,-2.4251
2018-04-09,-8.1091
2018-04-10,1.4118
2018-04-11,1.0441
2018-04-12,0.8037
2018-04-13,2.5057
2018-04-16,-3.1111
2018-04-17,0.0
2018-04-18,-0.4851
2018-04-20,-2.8544
2018-04-23,4.4923
2018-04-24,-3.5045
2018-04-25,1.1764999999999999
2018-04-26,0.0
2018-04-27,-0.5814
2018-04-30,-2.5731
2018-05-01,-3.8415
2018-05-02,9.2385
2018-05-03,-7.0857
2018-05-04,4.551
2018-05-07,2.3541
2018-05-08,-0.0011
2018-05-09,0.0
2018-05-10,-2.8736
2018-05-11,0.5917
2018-05-14,-0.4871
2018-05-15,1.6717
2018-05-16,-1.6279
2018-05-17,0.3322
2018-05-18,-2.5836
2018-05-21,-4.4601
2018-05-22,6.962
2018-05-23,-9.7041
2018-05-24,5.2425
2018-05-25,0.325
2018-05-29,-0.6964
2018-05-30,-0.875
2018-05-31,0.1261
2018-06-01,1.0076
2018-06-04,1.0187
2018-06-05,1.0899
2018-06-06,-0.7326
2018-06-07,2.337
2018-06-08,0.8413
2018-06-11,-4.41
2018-06-13,-3.99
2018-06-14,10.2597
2018-06-15,-2.8269
2018-06-18,-3.0303
2018-06-19,0.625
2018-06-20,0.0
