ticker,TPHS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-27,253.6364
2012-09-28,-11.3111
2012-10-01,4.3478
2012-10-03,13.8889
2012-10-04,-2.1951
2012-10-09,-11.4713
2012-10-12,0.8451
2012-10-17,-2.2346
2012-10-22,2.2857
2012-10-23,-0.838
2012-10-31,12.6761
2012-11-01,1.25
2012-11-05,-0.9877
2012-11-06,0.9975
2012-11-08,-0.7407
2012-11-09,0.7463
2012-11-13,3.4568
2012-11-15,-3.3413
2012-11-16,4.6914
2012-11-20,-4.4811
2012-11-21,0.0
2012-11-26,0.0
2012-11-27,-0.2469
2012-11-28,0.2475
2012-11-29,4.9383
2012-12-04,-4.4706
2012-12-06,1.9704000000000002
2012-12-07,-0.2415
2012-12-11,1.6949
2012-12-13,1.1905000000000001
2012-12-17,4.7059
2012-12-19,5.3933
2012-12-20,-0.8529
2012-12-24,-0.2151
2012-12-27,2.5862
2012-12-28,-0.2101
2012-12-31,4.2105
2013-01-02,1.0101
2013-01-09,9.0
2013-01-10,0.0
2013-01-11,-9.2661
2013-01-16,-3.7412
2013-01-17,1.8908
2013-01-18,-7.2165
2013-01-22,3.3333
2013-01-23,-5.3763
2013-01-24,1.3636
2013-01-28,-0.6726
2013-01-29,0.0
2013-01-30,3.8375
2013-02-04,-3.6957
2013-02-05,0.4515
2013-02-06,-1.1236
2013-02-11,0.0
2013-02-14,0.0
2013-02-27,-3.4091
2013-02-28,-0.4706
2013-03-01,1.6548
2013-03-04,0.2326
2013-03-05,-1.3921000000000001
2013-03-06,-0.9412
2013-03-07,0.9501
2013-03-11,1.1764999999999999
2013-03-13,22.093
2013-03-14,-14.2857
2013-03-18,-6.4444
2013-03-20,17.3397
2013-03-27,-9.3117
2013-03-28,-3.7946
2013-04-01,0.0
2013-04-02,-0.232
2013-04-03,23.2558
2013-04-04,-5.6604
2013-04-05,-8.0
2013-04-08,-3.2609
2013-04-09,-1.1236
2013-04-11,-1.1364
2013-04-12,-1.1494
2013-04-15,-3.0233
2013-04-17,0.0
2013-04-18,0.7194
2013-04-19,4.7619
2013-04-22,0.0
2013-04-23,4.5455
2013-04-24,-2.1739
2013-04-25,0.4444
2013-04-26,16.1504
2013-04-29,9.5238
2013-04-30,-5.2174
2013-05-01,0.367
2013-05-02,-0.1828
2013-05-06,0.0
2013-05-07,0.7326
2013-05-08,0.9091
2013-05-09,0.0
2013-05-14,0.9009
2013-05-15,2.6786
2013-05-16,-2.6087
2013-05-17,-3.9286
