ticker,MUTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-19,14900.0
2006-02-01,333.3333
2006-02-03,0.0
2006-02-06,0.0
2006-03-07,0.0
2006-03-13,30.7692
2006-03-14,0.0
2006-03-15,0.0
2006-03-16,-5.8824
2006-03-17,6.25
2006-03-20,5.8824
2006-03-23,-5.5556
2006-03-29,0.0
2006-04-03,0.0
2006-04-05,-17.647100000000002
2006-04-25,-44.2857
2006-04-26,2.5641
2006-04-27,50.0
2006-05-01,8.3333
2006-05-02,0.0
2006-05-03,7.6923
2006-05-05,7.1429
2006-05-09,0.0
2006-05-10,0.0
2006-05-15,-31.6
2006-05-23,-22.0273
2006-05-24,-50.0
2006-05-25,155.0
2006-06-02,-86.2745
2006-06-07,257.1429
2006-06-08,100.0
2006-06-12,-10.0
2006-06-13,11.1111
2006-06-14,18.0
2006-06-15,-6.7797
2006-06-16,27.2727
2006-06-19,0.0
2006-06-20,7.1429
2006-06-21,-6.6667
2006-06-22,-28.5714
2006-06-23,18.0
2006-06-26,-13.5593
2006-06-27,17.647100000000002
2006-06-28,-15.0
2006-06-29,-21.5686
2006-06-30,22.5
2006-07-03,2.0408
2006-07-05,2.0
2006-07-07,-21.5686
2006-07-10,25.0
2006-07-17,0.0
2006-07-18,6.0
2006-07-19,-3.7736
2006-07-20,21.5686
2006-07-21,-17.7419
2006-07-26,-19.6078
2006-07-31,-7.3171
2006-08-01,34.2105
2006-08-02,-25.4902
2006-08-03,-5.2632
2006-08-04,0.0
2006-08-07,11.1111
2006-08-08,0.0
2006-08-09,37.5
2006-08-10,9.0909
2006-08-11,8.3333
2006-08-14,-7.6923
2006-08-15,25.0
2006-08-16,0.0
2006-08-17,0.0
2006-08-18,-6.6667
2006-08-21,4.2857
2006-08-22,-17.8082
2006-08-23,8.3333
2006-08-24,0.0
2006-08-25,0.0
2006-08-28,-4.6154
2006-08-29,4.8387
2006-08-30,-7.6923
2006-08-31,0.0
2006-09-01,0.0
2006-09-05,0.0
2006-09-06,-5.0
2006-09-07,-12.2807
2006-09-11,-26.0
2006-09-12,37.8378
2006-09-13,0.0
2006-09-14,-0.9804
2006-09-15,-0.9901
2006-09-18,0.0
2006-09-20,0.0
2006-09-25,-26.0
2006-09-26,18.9189
2006-09-27,-25.0
2006-09-28,-6.0606
2006-09-29,3.2258
2006-10-02,25.0
2006-10-03,0.0
2006-10-04,5.0
2006-10-05,-21.4286
2006-10-06,-3.0303
2006-10-10,31.25
2006-10-11,-4.7619
