ticker,PGTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-28,10.7143
2006-06-29,2.5806
2006-06-30,-0.6289
2006-07-03,1.962
2006-07-05,-0.6828
2006-07-06,-0.9375
2006-07-07,2.5237
2006-07-10,6.4615
2006-07-11,-3.526
2006-07-12,-1.438
2006-07-13,-2.5532
2006-07-14,-0.1871
2006-07-17,-0.6875
2006-07-18,0.0629
2006-07-19,-0.8805
2006-07-20,0.9518
2006-07-21,-2.1999
2006-07-24,0.7069
2006-07-25,1.5954000000000002
2006-07-26,-2.0101
2006-07-27,-0.1282
2006-07-28,1.0911
2006-07-31,0.0
2006-08-01,2.6032
2006-08-02,2.104
2006-08-03,5.697
2006-08-04,-3.383
2006-08-07,-4.1543
2006-08-08,-0.8669
2006-08-09,-2.436
2006-08-10,-3.009
2006-08-11,-1.0561
2006-08-14,-2.6017
2006-08-15,0.4118
2006-08-16,-3.4797000000000002
2006-08-17,2.4735
2006-08-18,0.0
2006-08-21,-2.7586
2006-08-22,-1.4184
2006-08-23,-7.2661999999999995
2006-08-24,6.9046
2006-08-25,0.5806
2006-08-28,2.9582
2006-08-29,0.4205
2006-08-30,0.4885
2006-08-31,2.4306
2006-09-01,3.4576000000000002
2006-09-05,1.8349
2006-09-06,-1.3514
2006-09-07,-2.7397
2006-09-08,-0.4024
2006-09-11,-1.5488
2006-09-12,0.7524
2006-09-13,1.1541
2006-09-14,-0.8054
2006-09-15,0.9472
2006-09-18,1.8767
2006-09-19,-0.1974
2006-09-20,1.7798
2006-09-21,-4.2746
2006-09-22,0.9472
2006-09-25,0.5362
2006-09-26,0.8
2006-09-27,0.3968
2006-09-28,-3.2279
2006-09-29,-4.2886
2006-10-02,0.4267
2006-10-03,-1.1331
2006-10-04,-2.3639
2006-10-05,-2.201
2006-10-06,-3.1508
2006-10-09,9.45
2006-10-10,1.557
2006-10-11,-1.324
2006-10-12,3.2486
2006-10-13,0.8892
2006-10-16,0.4746
2006-10-17,-1.3495
2006-10-18,-1.7784
2006-10-19,1.3928
2006-10-20,1.717
2006-10-23,-0.4727
2006-10-24,1.1533
2006-10-25,-1.0731
2006-10-26,1.1525
2006-10-27,0.9383
2006-10-30,-0.3984
2006-10-31,-1.2667
2006-11-01,1.9581
2006-11-02,-13.4437
2006-11-03,0.153
2006-11-06,-2.5974
2006-11-07,-0.0784
2006-11-08,-1.0204
2006-11-09,-5.5511
2006-11-10,-0.2519
2006-11-13,-5.5556
2006-11-14,-1.5152
2006-11-15,6.0633
