ticker,VNOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-18,24.4231
2014-06-19,3.0603
2014-06-20,1.9496
2014-06-23,0.6914
2014-06-24,-3.5793
2014-06-25,-3.1212
2014-06-26,1.4388
2014-06-27,2.066
2014-06-30,2.1148
2014-07-01,-4.5858
2014-07-02,3.2248
2014-07-03,1.1415
2014-07-07,0.891
2014-07-08,-1.3836
2014-07-09,-0.4179
2014-07-10,-1.3189
2014-07-11,-0.729
2014-07-14,-0.5508
2014-07-15,-0.0923
2014-07-16,1.0471
2014-07-17,1.2496
2014-07-18,1.1439
2014-07-21,-1.6667
2014-07-22,-0.3632
2014-07-23,-0.6075
2014-07-24,-0.1528
2014-07-25,-0.9795
2014-07-28,-3.0603
2014-07-29,-0.0638
2014-07-30,-3.127
2014-07-31,0.2964
2014-08-01,1.1494
2014-08-04,-0.5195
2014-08-05,-0.4243
2014-08-06,0.1967
2014-08-07,2.2244
2014-08-08,2.2720000000000002
2014-08-11,-1.3767
2014-08-12,-0.0635
2014-08-13,-0.5079
2014-08-14,1.4036
2014-08-15,-1.2268
2014-08-18,2.2937
2014-08-19,2.2734
2014-08-20,-2.5579
2014-08-21,1.25
2014-08-22,-0.8333
2014-08-25,-1.9297
2014-08-26,0.3174
2014-08-27,2.2461
2014-08-28,-1.4542
2014-08-29,0.5965
2014-09-02,-0.6554
2014-09-03,-1.508
2014-09-04,-4.3062000000000005
2014-09-05,0.6667
2014-09-08,0.0993
2014-09-09,-0.7278
2014-09-10,0.1999
2014-09-11,0.0333
2014-09-12,-0.0665
2014-09-15,-5.1896
2014-09-16,-4.5263
2014-09-17,-0.7718
2014-09-18,-1.2222
2014-09-19,-0.6749
2014-09-22,-7.3235
2014-09-23,-0.4073
2014-09-24,-1.1861
2014-09-25,-4.553
2014-09-26,1.0408
2014-09-29,1.1588
2014-09-30,-1.4425
2014-10-01,1.4205999999999999
2014-10-02,-0.5518
2014-10-03,3.1583
2014-10-06,-0.993
2014-10-07,-0.794
2014-10-08,-6.9082
2014-10-09,-10.5882
2014-10-10,-7.2368
2014-10-13,-6.2739
2014-10-14,1.7462
2014-10-15,0.6293
2014-10-16,12.0523
2014-10-17,5.0228
2014-10-20,-1.401
2014-10-21,2.2538
2014-10-22,-0.6229
2014-10-23,4.1466
2014-10-24,-1.1111
2014-10-27,-2.1067
2014-10-28,0.4782
2014-10-29,-1.6183
2014-10-30,-2.7576
2014-10-31,0.6965
2014-11-03,0.247
2014-11-04,-1.6263999999999998
