ticker,WH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-21,-5.1692
2018-05-23,-5.4997
2018-05-24,0.0
2018-05-25,-1.03
2018-05-29,1.4571
2018-05-30,2.3081
2018-05-31,-0.5682
2018-06-01,3.1933
2018-06-04,2.8664
2018-06-05,5.1773
2018-06-06,-5.9612
2018-06-07,-0.9284
2018-06-08,1.5996000000000001
2018-06-11,-2.4809
2018-06-12,-1.3046
2018-06-13,-1.421
2018-06-14,1.9108
2018-06-15,2.1305
2018-06-18,-0.6307
2018-06-19,0.0814
2018-06-20,0.6504
2018-06-21,0.3069
2018-06-22,2.0776
2018-06-25,-2.3351
2018-06-26,-1.1955
2018-06-27,-2.0111
2018-06-28,-2.0023
2018-06-29,0.1703
2018-07-02,-1.9548
2018-07-03,-0.2254
2018-07-05,2.6064
2018-07-06,0.6943
2018-07-09,-0.8241
2018-07-10,-0.797
2018-07-11,0.2735
2018-07-12,0.0852
2018-07-13,0.0
2018-07-16,-0.3577
2018-07-17,-1.2821
2018-07-18,2.1818
2018-07-19,-1.2032
2018-07-20,0.0686
2018-07-23,-0.9599
2018-07-24,0.2077
2018-07-25,-0.829
2018-07-26,2.3859
2018-07-27,-2.3303
2018-07-30,-0.7663
2018-07-31,1.7901
2018-08-01,2.6897
2018-08-02,2.6864
2018-08-03,-0.6213
2018-08-06,1.925
2018-08-07,-1.6625999999999999
2018-08-08,-4.0217
2018-08-09,-2.7364
2018-08-10,-0.9847
2018-08-13,-1.2609
2018-08-14,1.8345
2018-08-15,0.2119
2018-08-16,1.1808
2018-08-17,0.0348
2018-08-20,0.1915
2018-08-21,-1.373
2018-08-22,-1.2511
2018-08-23,-1.9628999999999999
2018-08-24,1.2013
2018-08-27,1.241
2018-08-28,0.604
2018-08-29,-0.3002
2018-08-30,0.797
2018-08-31,-0.2811
2018-09-04,-0.0705
2018-09-05,-2.3982
2018-09-06,-1.7344
2018-09-07,1.6179000000000001
2018-09-10,-0.5066
2018-09-11,-0.5092
2018-09-12,1.7730000000000001
2018-09-13,1.5086
2018-09-14,0.7286
2018-09-17,-2.2583
2018-09-18,1.5162
2018-09-19,0.0356
2018-09-20,0.5866
2018-09-21,-2.58
2018-09-24,0.0726
2018-09-25,0.1813
2018-09-26,1.4836
2018-09-27,0.2496
2018-09-28,-1.1738
2018-10-01,-2.0155
2018-10-02,-1.1019
2018-10-03,-1.8756
2018-10-04,-0.3596
2018-10-05,-0.3799
2018-10-08,0.9342
2018-10-09,-0.34
