ticker,AMCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-26,-8.4127
2010-01-27,5.1993
2010-01-28,1.4827
2010-01-29,-0.1623
2010-02-01,0.065
2010-02-02,-2.5023999999999997
2010-02-03,0.0
2010-02-04,-2.8333
2010-02-05,-3.9451
2010-02-08,2.5
2010-02-09,-0.5226
2010-02-10,0.3503
2010-02-11,1.9197
2010-02-12,0.5137
2010-02-16,0.5111
2010-02-17,0.678
2010-02-18,-1.8497
2010-02-19,2.9137
2010-02-22,-2.3333
2010-02-23,-1.0239
2010-02-24,1.5516999999999999
2010-02-25,-1.1885
2010-02-26,0.5155
2010-03-01,-0.1709
2010-03-02,1.5411000000000001
2010-03-03,19.8988
2010-03-04,4.5007
2010-03-05,6.3257
2010-03-08,0.1266
2010-03-09,-5.1833
2010-03-10,1.2
2010-03-11,4.0843
2010-03-12,-2.1519
2010-03-15,0.1294
2010-03-16,-5.168
2010-03-17,0.9537
2010-03-18,-2.969
2010-03-19,0.4451
2010-03-22,-3.0739
2010-03-23,-1.2857
2010-03-24,1.1577
2010-03-25,-1.0014
2010-03-26,-4.0462
2010-03-29,0.753
2010-03-30,-2.8401
2010-03-31,-2.1538
2010-04-01,1.5723
2010-04-05,0.3096
2010-04-06,4.321
2010-04-07,1.4793
2010-04-08,-1.3101
2010-04-09,-1.9220000000000002
2010-04-12,4.3675
2010-04-13,-3.1746
2010-04-14,-1.4903
2010-04-15,-3.3283
2010-04-16,-2.8189
2010-04-19,-1.9304000000000001
2010-04-20,5.4187
2010-04-21,-0.4653
2010-04-22,-1.5669
2010-04-23,0.463
2010-04-26,-2.2016
2010-04-27,-0.4854
2010-04-28,-1.5772
2010-04-29,-0.8735
2010-04-30,-2.8354
2010-05-03,-0.1715
2010-05-04,-3.2646
2010-05-05,-4.0853
2010-05-06,-6.4815
2010-05-07,-2.5743
2010-05-10,2.6423
2010-05-11,0.396
2010-05-12,11.0454
2010-05-13,1.2433
2010-05-14,-2.6316
2010-05-17,-16.3964
2010-05-18,-4.3103
2010-05-19,-3.8288
2010-05-20,-5.6206
2010-05-21,2.4814
2010-05-24,2.6634
2010-05-25,-4.0094
2010-05-26,1.7199
2010-05-27,2.657
2010-05-28,4.2353
2010-06-01,-1.1287
2010-06-02,-2.2831
2010-06-03,2.8037
2010-06-04,-1.3636
2010-06-07,-0.7748
2010-06-08,3.3352
2010-06-09,1.1236
2010-06-10,3.1111
2010-06-11,-2.3707
2010-06-14,0.6623
2010-06-15,-0.4386
