ticker,SPRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-23,1.3245
2011-06-24,0.6536
2011-06-27,0.6494
2011-06-28,0.0
2011-06-29,7.0968
2011-06-30,0.6024
2011-07-01,26.3473
2011-10-14,2032.7014
2011-11-25,-82.2222
2011-12-22,12.5
2012-01-23,15.5556
2012-08-31,5.7692
2013-01-04,0.0
2013-01-15,1.8182
2013-02-07,-1.7856999999999998
2013-03-05,-56.3636
2013-03-07,33.3333
2013-03-08,12.5
2013-03-11,11.1111
2013-03-12,6.25
2013-03-13,-2.3529
2013-03-14,2.4096
2013-03-15,5.8824
2013-03-18,3.3333
2013-03-19,-9.6774
2013-03-20,14.2857
2013-03-21,7.2917
2013-03-22,4.8544
2013-03-25,3.7037
2013-03-26,2.6786
2013-03-27,5.2174
2013-03-28,4.1322
2013-04-01,3.1746
2013-04-02,-0.7692
2013-04-03,0.7752
2013-04-04,-15.3846
2013-04-05,-13.6364
2013-04-08,17.8947
2013-04-09,7.1429
2013-04-10,4.1667
2013-04-11,-5.44
2013-04-12,-10.3215
2013-04-15,1.8868
2013-04-16,-3.7037
2013-04-17,-7.6923
2013-04-18,14.5833
2013-04-19,0.9091
2013-04-22,4.5045
2013-04-23,0.0
2013-04-24,6.0345
2013-04-25,-3.6585
2013-04-26,9.7046
2013-04-29,9.2308
2013-04-30,14.0845
2013-05-01,17.284
2013-05-02,7.3684
2013-05-03,-11.7647
2013-05-06,1.1111
2013-05-07,-1.0989
2013-05-08,5.5556
2013-05-09,1.0526
2013-05-10,-1.0417
2013-05-13,24.2105
2013-05-14,9.322
2013-05-15,7.7519
2013-05-16,6.4748
2013-05-17,8.1081
2013-05-20,5.625
2013-05-21,-30.1775
2013-05-22,-23.7288
2013-05-23,18.8889
2013-05-24,-4.6729
2013-05-28,0.9804
2013-05-29,-2.9126
2013-05-30,-7.0
2013-05-31,1.0753
2013-06-03,12.766
2013-06-04,16.9811
2013-06-05,14.5161
2013-06-06,-18.3099
2013-06-07,-1.7241
2013-06-10,5.2632
2013-06-11,-5.8333
2013-06-12,-2.6549
2013-06-13,-1.8182
2013-06-14,-4.6296
2013-06-17,-1.9417
2013-06-18,-5.922
2013-06-19,-12.1226
2013-06-20,-2.9939999999999998
2013-06-21,1.2346
2013-06-24,25.6098
2013-06-25,-10.6796
2013-06-26,-10.8696
2013-06-27,-3.6738
2013-06-28,1.2818
2013-07-01,1.875
2013-07-02,1.9632
2013-07-03,0.4813
2013-07-05,-1.7964
