ticker,CGNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.0481
2000-01-04,-3.1224
2000-01-05,-1.3937
2000-01-06,-0.7067
2000-01-07,0.9786
2000-01-10,4.9338999999999995
2000-01-11,-3.6104000000000003
2000-01-12,1.2195
2000-01-13,7.315
2000-01-14,8.4202
2000-01-18,1.1095
2000-01-19,-4.0966
2000-01-20,2.9748
2000-01-21,3.4074
2000-01-24,-1.8625
2000-01-25,0.292
2000-01-26,-2.329
2000-01-27,1.9374
2000-01-28,-0.8772
2000-01-31,-3.8348
2000-02-01,5.3681
2000-02-02,2.7656
2000-02-03,0.9915
2000-02-04,-0.8415
2000-02-07,-1.0608
2000-02-08,0.5004
2000-02-09,-0.8535
2000-02-10,2.1521
2000-02-11,-1.4045
2000-02-14,-2.5641
2000-02-15,-0.2924
2000-02-16,3.5191
2000-02-17,4.3909
2000-02-18,-6.2415
2000-02-22,0.5789
2000-02-23,5.4676
2000-02-24,0.0
2000-02-25,-1.9100000000000001
2000-02-28,-1.9471
2000-02-29,-0.2837
2000-03-01,3.2006
2000-03-02,3.7904999999999998
2000-03-03,3.1208
2000-03-06,1.4809999999999999
2000-03-07,-0.7614
2000-03-08,0.7673
2000-03-09,13.7056
2000-03-10,-2.567
2000-03-13,-1.0309
2000-03-14,-4.9769
2000-03-15,-6.6991
2000-03-16,-0.2611
2000-03-17,4.5812
2000-03-20,-3.7547
2000-03-21,0.3901
2000-03-22,1.5544
2000-03-23,18.9732
2000-03-24,-0.5092
2000-03-27,0.8621
2000-03-28,-2.7778
2000-03-29,-2.8571
2000-03-30,0.4525
2000-03-31,3.9414
2000-04-03,-4.2254
2000-04-04,8.8235
2000-04-05,3.5343
2000-04-06,-0.4016
2000-04-07,4.0323
2000-04-10,-2.8101000000000003
2000-04-11,-2.4925
2000-04-12,-0.8691
2000-04-13,-0.361
2000-04-14,-7.2464
2000-04-17,-7.0313
2000-04-18,-0.12
2000-04-19,3.9663
2000-04-20,3.3526
2000-04-24,-7.2707
2000-04-25,8.8058
2000-04-26,-9.0909
2000-04-27,3.7805
2000-04-28,6.933
2000-05-01,-1.5385
2000-05-02,-3.5714
2000-05-03,-0.9259
2000-05-04,2.6869
2000-05-05,2.1615
2000-05-08,-5.1225
2000-05-09,-0.4695
2000-05-10,-2.1226
2000-05-11,6.2651
2000-05-12,-1.3605
2000-05-15,1.2644
2000-05-16,0.9081
2000-05-17,-1.1249
2000-05-18,-4.4369
2000-05-19,-5.5952
