ticker,SEM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-25,0.9
2009-09-28,3.5679
2009-09-29,-3.4641
2009-09-30,-0.1784
2009-10-01,-0.6951
2009-10-02,-0.1
2009-10-05,0.0
2009-10-06,-1.9019
2009-10-07,-0.5102
2009-10-08,0.3077
2009-10-09,-0.3067
2009-10-12,0.0
2009-10-13,0.0
2009-10-14,0.3077
2009-10-15,-0.1022
2009-10-16,-0.1024
2009-10-19,-0.3074
2009-10-20,0.2055
2009-10-21,-0.5128
2009-10-22,0.3093
2009-10-23,-0.6166
2009-10-26,-0.7239
2009-10-27,0.2083
2009-10-28,-1.4553
2009-10-29,1.5823
2009-10-30,0.7269
2009-11-02,0.4124
2009-11-03,-0.924
2009-11-04,2.487
2009-11-05,1.1122
2009-11-06,-1.0
2009-11-09,-1.4141
2009-11-10,-0.4098
2009-11-11,0.3086
2009-11-12,-0.1026
2009-11-13,-3.5934
2009-11-16,0.1065
2009-11-17,-0.6383
2009-11-18,-1.4989
2009-11-19,-2.3913
2009-11-20,1.7816999999999998
2009-11-23,0.4376
2009-11-24,0.5447
2009-11-25,0.1083
2009-11-27,-1.9481000000000002
2009-11-30,-0.1104
2009-12-01,3.4254
2009-12-02,-0.7479
2009-12-03,1.6146
2009-12-04,-1.589
2009-12-07,1.3994
2009-12-08,3.0786
2009-12-09,-0.6179
2009-12-10,1.5544
2009-12-11,0.5102
2009-12-14,-0.3046
2009-12-15,-0.1018
2009-12-16,-0.1019
2009-12-17,2.3468999999999998
2009-12-18,2.3928
2009-12-21,-0.1947
2009-12-22,-2.1463
2009-12-23,4.3868
2009-12-24,-0.382
2009-12-28,0.1918
2009-12-29,3.1579
2009-12-30,-2.1336
2009-12-31,0.6635
2010-01-04,1.2241
2010-01-05,-1.7673999999999999
2010-01-06,-2.8409
2010-01-07,0.3899
2010-01-08,0.1942
2010-01-11,-0.1938
2010-01-12,-0.9709
2010-01-13,1.8627
2010-01-14,1.0587
2010-01-15,-1.2381
2010-01-19,1.2536
2010-01-20,-3.6189999999999998
2010-01-21,-1.7787
2010-01-22,-0.4024
2010-01-25,0.0
2010-01-26,-0.303
2010-01-27,1.6211
2010-01-28,-2.5922
2010-01-29,1.433
2010-02-01,-2.9263
2010-02-02,1.4553
2010-02-03,-1.7418
2010-02-04,-2.7112
2010-02-05,-1.5005
2010-02-08,-1.4146
2010-02-09,0.5519
2010-02-10,-2.3052
2010-02-11,0.0
2010-02-12,-0.6742
2010-02-16,-0.3394
