ticker,FUSN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,0.0
2020-06-29,4.5882
2020-06-30,-1.7435
2020-07-01,-11.8489
2020-07-02,3.8961
2020-07-06,6.875
2020-07-07,-0.0585
2020-07-08,-0.8192
2020-07-09,-1.1799
2020-07-10,-0.0597
2020-07-13,1.2545
2020-07-14,-3.1268
2020-07-15,-1.5225
2020-07-16,-1.8553
2020-07-17,-0.126
2020-07-20,-3.5962
2020-07-21,-0.3272
2020-07-22,-0.394
2020-07-23,0.0
2020-07-24,-12.9862
2020-07-27,-2.197
2020-07-28,0.3873
2020-07-29,5.4012
2020-07-30,-0.9517
2020-07-31,1.6999
