ticker,BTHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-23,0.0
2012-03-28,0.0
2012-04-02,20.0
2012-04-04,70.0
2012-04-05,0.0
2012-04-10,7.8431
2012-04-11,0.0
2012-04-12,-7.2727
2012-04-16,15.6863
2012-04-17,5.0847
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-23,0.0
2012-04-25,-3.2258
2012-04-27,-15.0
2012-05-03,-9.8039
2012-05-04,10.8696
2012-05-30,-11.7647
2012-06-08,66.6667
2012-06-11,40.0
2012-06-13,0.0
2012-06-14,-3.8095
2012-06-18,0.0
2012-06-19,-6.9307
2012-06-20,-45.7447
2012-06-21,-11.7647
2012-06-22,22.2222
2012-06-27,-7.2727
2012-06-28,0.0
2012-07-02,-31.3725
2012-07-05,0.0
2012-07-06,-14.2857
2012-07-09,50.0
2012-07-16,22.2222
2012-07-20,-7.2727
2012-07-23,-10.9804
2012-07-26,12.3348
2012-07-27,7.8431
2012-07-30,0.0
2012-08-16,9.0909
2012-08-28,-15.0
2012-09-04,0.0
2012-09-14,-11.7647
2012-09-28,4.4444
2012-10-02,-14.8936
2012-10-03,-25.0
2012-10-04,66.6667
2012-10-10,10.0
2012-10-11,-9.0909
2012-10-12,0.0
2012-10-15,-20.0
2012-10-18,37.5
2012-10-22,9.0909
2012-10-23,-33.3333
2012-10-31,25.0
2012-11-01,0.0
2012-11-02,-4.0
2012-11-08,4.1667
2012-11-12,-20.0
2012-11-13,5.0
2012-11-14,11.9048
2012-11-19,8.5106
2012-11-20,-6.1029
2012-12-04,6.4996
2012-12-06,0.0
2012-12-14,0.0
2012-12-27,-11.7647
2012-12-28,-6.6667
2013-01-28,21.4286
2013-01-30,0.0
2013-02-08,-3.9215999999999998
2013-02-15,2.0408
2013-02-19,0.0
2013-02-21,-18.0
2013-02-26,-14.6341
2013-03-06,5.7143
2013-03-08,8.5135
2013-03-11,-5.3549
2013-03-14,0.0
2013-03-15,5.6579
2013-03-18,-12.8269
2013-03-19,0.0
2013-03-20,-11.4286
2013-03-21,0.0
2013-03-25,12.9032
2013-03-26,0.0
2013-03-27,-11.4286
2013-04-01,-3.2258
2013-04-09,3.3333
2013-04-10,70.9677
2013-04-11,0.0
2013-04-12,-5.4717
2013-04-15,9.7804
2013-04-16,-34.5455
2013-04-17,52.7778
2013-04-18,3.6364
2013-04-19,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,3.5088
2013-04-25,0.0
2013-04-26,0.0
