ticker,PLSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-18,4.25
2016-05-19,-2.1583
2016-05-20,1.2255
2016-05-23,-0.2421
2016-05-24,0.4854
2016-05-25,2.657
2016-05-26,1.1764999999999999
2016-05-27,0.2326
2016-05-31,-0.464
2016-06-01,0.6993
2016-06-02,-1.6233
2016-06-03,3.0619
2016-06-06,-0.4566
2016-06-07,-2.0642
2016-06-08,0.2342
2016-06-09,-0.698
2016-06-10,2.8205
2016-06-13,-2.2883
2016-06-14,0.0
2016-06-15,1.8735
2016-06-16,1.1494
2016-06-17,-0.6818
2016-06-20,-0.4577
2016-06-21,-1.8391
2016-06-22,0.2342
2016-06-23,5.1402
2016-06-24,0.8889
2016-06-27,-4.4053
2016-06-28,-0.0029
2016-06-29,1.0196
2016-06-30,2.415
2016-07-01,-1.5590000000000002
2016-07-05,1.3603
2016-07-06,-1.7885
2016-07-07,0.0
2016-07-08,2.2727
2016-07-11,0.0
2016-07-12,0.2222
2016-07-13,3.7694
2016-07-14,-3.2078
2016-07-15,0.0028
2016-07-18,-1.9868000000000001
2016-07-19,2.7477
2016-07-20,0.1754
2016-07-22,-1.5316999999999998
2016-07-25,2.8861
2016-07-27,-1.7252
2016-07-28,3.7363
2016-07-29,-3.178
2016-08-01,0.8753
2016-08-02,0.6508
2016-08-03,-0.8621
2016-08-04,0.0
2016-08-05,1.9565000000000001
2016-08-08,-2.9851
2016-08-09,0.4396
2016-08-11,1.5316999999999998
2016-08-12,-1.7241
2016-08-15,2.4123
2016-08-16,-1.9272
2016-08-17,0.4394
2016-08-18,0.4321
2016-08-19,-0.6494
2016-08-22,0.2179
2016-08-23,-0.4348
2016-08-24,1.31
2016-08-25,0.8621
2016-08-26,1.0684
2016-08-29,-2.3256
2016-08-31,6.4908
2016-09-01,1.4253
2016-09-02,0.2004
2016-09-06,9.0025
2016-09-07,4.7682
2016-09-08,-1.9264000000000001
2016-09-09,7.1429
2016-09-12,4.0
2016-09-13,3.0449
2016-09-14,-0.4666
2016-09-15,-0.3125
2016-09-16,-9.2476
2016-09-19,7.6684
2016-09-20,2.6628
2016-09-21,-1.5625
2016-09-22,0.0
2016-09-23,0.0
2016-09-26,1.746
2016-09-27,-1.4041000000000001
2016-09-28,-0.1582
2016-09-29,0.0
2016-09-30,-0.317
2016-10-03,0.159
2016-10-04,0.1587
2016-10-05,-0.7924
2016-10-06,0.4792
2016-10-07,0.159
2016-10-10,-0.8254
2016-10-11,-0.4481
2016-10-12,0.9646
