ticker,AXPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-14,-90.1961
2002-09-10,920.0
2002-11-22,-90.1961
2003-02-03,0.0
2005-06-03,0.0
2006-08-24,100.0
2006-08-28,410.0
2007-01-25,0.0
2007-02-01,-75.4902
2007-05-23,0.0
2007-12-12,0.0
2008-02-07,0.0
2011-03-14,0.0
2011-06-24,0.0
2012-11-06,0.0
2013-06-24,340.0
2013-06-25,54.5455
2013-08-15,82.3529
2013-11-27,3.2258
2014-02-14,-50.0
2014-10-06,-6.25
2015-08-31,0.0
2015-09-04,-18.6667
2015-09-14,6.5574
2017-01-26,0.0192
2017-08-22,-0.0192
2018-03-13,0.0
2018-04-18,0.0
2018-07-02,-23.0769
2019-06-06,100.0
2019-08-05,-41.0
2019-08-06,0.0
2019-09-25,62.7119
2019-09-30,5.2083
2019-10-25,-45.5446
2019-10-31,9.0909
