ticker,AMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-18,5.0
2013-12-19,3.1217
2013-12-20,0.9749
2013-12-23,0.3049
2013-12-24,-1.0638
2013-12-26,1.2801
2013-12-27,1.8199999999999998
2013-12-30,-0.7944
2013-12-31,2.8529
2014-01-02,-1.8005
2014-01-03,-0.7929
2014-01-06,-0.05
2014-01-07,0.1999
2014-01-08,-0.4489
2014-01-09,0.3507
2014-01-10,0.0499
2014-01-13,-0.2994
2014-01-14,0.7007
2014-01-15,-0.6461
2014-01-16,1.5508
2014-01-17,-0.2956
2014-01-21,3.0138
2014-01-22,1.9664000000000001
2014-01-23,0.047
2014-01-24,0.4701
2014-01-27,-0.0936
2014-01-28,2.623
2014-01-29,-1.2323
2014-01-30,-0.5083
2014-01-31,-0.7431
2014-02-03,-1.4974
2014-02-04,-0.1425
2014-02-05,0.0951
2014-02-06,0.5703
2014-02-07,0.7561
2014-02-10,0.2345
2014-02-11,1.8718
2014-02-12,1.2402
2014-02-13,0.2722
2014-02-14,-0.4525
2014-02-18,-0.0455
2014-02-19,-0.2729
2014-02-20,0.0912
2014-02-21,1.6401
2014-02-24,0.3586
2014-02-25,0.3573
2014-02-26,0.2225
2014-02-27,0.9769
2014-02-28,0.6596
2014-03-03,0.2621
2014-03-04,4.4879999999999995
2014-03-05,2.8357
2014-03-06,2.2709
2014-03-07,0.9913
2014-03-10,-2.5913
2014-03-11,-3.3454
2014-03-12,-2.8773999999999997
2014-03-13,2.4903
2014-03-14,1.0054
2014-03-17,3.9403
2014-03-18,-2.6337
2014-03-19,-3.3607
2014-03-20,-0.2969
2014-03-21,-1.9141
2014-03-24,0.5204
2014-03-25,3.5807
2014-03-26,-0.6247
2014-03-27,-1.8441
2014-03-28,2.0495
2014-03-31,1.4644
2014-04-01,1.9381
2014-04-02,0.3236
2014-04-03,-5.3225999999999996
2014-04-04,-1.9590999999999998
2014-04-07,0.0
2014-04-08,4.1268
2014-04-09,-1.3767
2014-04-10,-3.2149
2014-04-11,3.1469
2014-04-14,-0.0424
2014-04-15,-5.0021
2014-04-16,0.4462
2014-04-17,-0.9329
2014-04-21,4.8879
2014-04-22,-2.5652
2014-04-23,0.351
2014-04-24,2.23
2014-04-25,-5.5175
2014-04-28,2.2635
2014-04-29,-0.4869
2014-04-30,2.9359
2014-05-01,3.7165
2014-05-02,-1.0833
2014-05-05,-3.5805
2014-05-06,-3.0144
2014-05-07,-0.8108
2014-05-08,-3.2243
2014-05-09,-0.7977
