ticker,DWNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-01-24,1.3917
2003-02-20,-1.9607999999999999
2003-03-12,0.0
2003-03-13,2.0
2003-03-18,0.0
2003-03-21,0.0
2003-03-27,0.4706
2003-04-11,0.0392
2003-06-05,3.8808
2003-10-01,3.77
2003-10-13,2.7523
2003-10-24,0.8929
2003-10-27,0.885
2003-10-28,0.0
2003-10-29,0.0
2003-11-03,4.386
2003-11-06,4.2017
2003-11-10,4.8387
2003-11-14,-1.5385
2003-11-17,1.5625
2003-11-18,0.0
2003-12-08,-3.0769
2004-01-28,-0.032
2004-01-29,4.0
2004-02-26,0.0
2004-03-19,1.5385
2004-04-20,2.7397
2004-05-05,-2.2222
2004-05-12,3.0303
2004-05-13,-0.7353
2004-05-14,0.0
2004-05-17,0.7407
2004-05-19,0.0
2004-06-23,0.0
2004-07-26,-2.5111
2004-08-11,0.0
2004-08-23,6.0606
2004-08-31,-1.0
2004-09-08,0.0
2004-09-09,0.0
2004-09-22,0.0
2004-09-23,-4.0404
2004-09-28,-0.1504
2004-10-01,2.2727
2004-10-06,0.0
2004-10-15,0.0
2004-10-21,-6.6667
2004-10-26,7.9365
2004-11-09,0.0
2004-11-11,0.0
2004-11-17,0.0
2004-11-18,0.0
2004-11-23,1.9118
2004-11-29,0.0
2004-12-17,-1.1544
2005-01-05,2.0558
2005-01-06,-7.9137
2005-01-10,6.25
2005-01-31,5.8824
2005-02-10,0.0
2005-02-14,-4.1667
2005-02-28,4.3478
2005-03-04,-2.7778
2005-03-31,-5.1724
2005-04-01,-12.1212
2005-04-04,6.8966
2005-04-07,0.0
2005-04-21,3.2258
2005-04-25,3.125
2005-05-19,3.0303
2005-06-06,1.4706000000000001
2005-06-07,0.0
2005-06-08,0.0
2005-07-07,-0.8457
2005-08-02,-3.6765
2005-08-03,4.8855
2005-08-24,-4.6579
2005-08-25,3.8167999999999997
2005-08-26,-3.6765
2005-08-30,0.0
2005-08-31,0.5802
2005-09-06,0.0304
2005-09-21,-0.607
2005-09-26,0.0
2005-09-27,0.0
2005-10-05,-0.1229
2005-10-21,0.0
2005-10-26,0.0
2005-10-31,3.0769
2005-11-22,-2.9851
2005-11-23,1.5385
2005-11-25,0.0
2005-11-30,1.5152
2005-12-09,-3.7313
2005-12-16,0.0
2005-12-30,6.1174
2006-01-06,0.0
2006-01-13,1.4706000000000001
2006-01-24,-8.6957
2006-01-30,7.1429
2006-01-31,0.7407
2006-02-07,-7.3529
2006-02-22,4.7619
