ticker,MDRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-28,-6.0
2018-11-29,-2.1277
2018-11-30,2.1739
2018-12-03,-2.234
2018-12-06,1.3058
2018-12-07,-0.1074
2018-12-10,-0.3226
2018-12-13,-1.0445
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,0.5533
2018-12-20,1.3282
2018-12-21,0.3817
2018-12-24,-10.0489
2018-12-26,-11.4143
2018-12-27,-3.2025
2018-12-28,22.5352
2019-01-02,3.5644
2019-01-03,0.1099
2019-01-04,0.0
2019-01-08,3.1042
2019-01-09,0.0
2019-01-16,-0.4301
2019-01-18,-21.0583
2019-01-23,5.7456
2019-01-25,7.5032
2019-01-28,-12.755700000000001
2019-01-29,-0.1379
2019-02-01,2.2099
2019-02-04,-2.027
2019-02-07,-3.4483
2019-02-12,15.5714
2019-02-13,-9.7651
2019-02-21,2.7411
2019-02-22,6.6652000000000005
2019-02-26,-6.125
2019-02-27,1.1984
2019-03-01,-5.2632
2019-03-04,1.3889
2019-03-11,23.2877
2019-03-12,-2.6222
2019-03-13,4.4044
2019-03-14,-2.7321999999999997
2019-03-15,-8.427
2019-03-18,0.5006
2019-03-21,1.6995
2019-03-22,-1.8667
2019-03-25,-0.2997
2019-03-26,-1.9656
2019-03-27,-3.0013
2019-03-28,-2.5806
2019-04-02,1.3245
2019-04-03,0.0
2019-04-05,-0.4405
2019-04-09,-4.8094
2019-04-10,-0.6841
2019-04-11,-0.2833
2019-04-12,-2.507
2019-04-15,3.5714
2019-04-22,1.7931
2019-04-23,8.4011
2019-04-26,-6.25
2019-04-30,5.3333
2019-05-02,0.8861
2019-05-03,-1.7566000000000002
2019-05-06,-0.3831
2019-05-07,-0.641
2019-05-08,-22.5806
2019-05-09,-17.5
2019-05-10,0.9919
2019-05-13,0.8181
2019-05-14,-4.3651
2019-05-15,3.7157999999999998
2019-05-16,-1.9924
2019-05-17,1.0307
2019-05-20,0.0
2019-05-21,-3.0303
2019-05-22,2.7083
2019-05-23,-5.1724
2019-05-24,-3.5556
2019-05-28,1.3825
2019-05-29,-9.5295
2019-05-30,-0.0176
2019-05-31,8.5427
2019-06-03,3.7037
2019-06-04,0.4821
2019-06-05,6.6288
2019-06-06,-0.625
2019-06-07,0.3208
2019-06-10,-3.0364
2019-06-11,-0.2155
2019-06-12,0.432
2019-06-13,1.9355
2019-06-14,0.4219
2019-06-17,-0.2101
2019-06-18,-1.8947
2019-06-19,-6.0086
2019-06-20,0.0
2019-06-21,0.0
