ticker,BVTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-01-04,10.0
2016-01-05,-9.0909
2016-01-06,-20.0
2016-01-07,-25.0
2016-01-08,-16.6667
2016-01-11,0.0
2016-01-12,-40.0
2016-01-13,-33.3333
2016-01-14,50.0
2016-01-15,0.0
2016-01-19,0.0
2016-01-20,-33.3333
2016-01-21,50.0
2016-01-22,0.0
2016-01-25,6.6667
2016-01-26,-6.25
2016-01-27,0.0
2016-01-28,-33.3333
2016-01-29,50.0
2016-02-01,-33.3333
2016-02-02,0.0
2016-02-03,-20.0
2016-02-04,25.0
2016-02-05,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,-21.6
2016-02-12,27.551
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,50.0
2016-02-22,-33.3333
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,50.0
2016-02-29,-33.3333
2016-03-01,20.0
2016-03-02,25.0
2016-03-03,-33.3333
2016-03-04,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,-20.0
2016-03-11,87.5
2016-03-14,-33.3333
2016-03-15,50.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-21,6.6667
2016-03-22,-6.25
2016-03-23,-20.0
2016-03-24,25.0
2016-03-28,0.0
2016-03-29,-20.0
2016-03-30,25.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-04,-20.0
2016-04-05,-16.6667
2016-04-06,50.0
2016-04-07,-33.3333
2016-04-08,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-26,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-06,700.0
2016-06-07,-90.0
2016-06-08,25.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-13,0.0
