ticker,KELYA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6219
2000-01-04,-1.627
2000-01-05,-1.5267
2000-01-06,-0.5168
2000-01-07,2.0779
2000-01-10,1.7812000000000001
2000-01-11,-2.5
2000-01-12,-2.0513
2000-01-13,3.4031000000000002
2000-01-14,-1.7722
2000-01-18,0.7732
2000-01-19,0.7673
2000-01-20,2.5381
2000-01-21,-0.9901
2000-01-24,-2.0
2000-01-25,-4.3367
2000-01-26,-0.8
2000-01-27,5.6452
2000-01-28,1.7812000000000001
2000-01-31,1.0
2000-02-01,0.495
2000-02-02,-0.9852
2000-02-03,0.995
2000-02-04,0.0
2000-02-07,0.4926
2000-02-08,1.2255
2000-02-09,-3.632
2000-02-10,0.5025
2000-02-11,-2.5
2000-02-14,3.3333
2000-02-15,-4.2184
2000-02-16,1.0363
2000-02-17,0.0
2000-02-18,-1.5385
2000-02-22,0.1302
2000-02-23,-0.13
2000-02-24,1.0
2000-02-25,0.2604
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,0.2597
2000-03-02,-0.2591
2000-03-03,-0.7792
2000-03-06,-0.5236
2000-03-07,0.0
2000-03-08,-1.0526
2000-03-09,0.5319
2000-03-10,0.0
2000-03-13,0.7937
2000-03-14,0.7874
2000-03-15,0.2604
2000-03-16,4.1558
2000-03-17,-1.4963
2000-03-20,-2.2785
2000-03-21,-2.0725
2000-03-22,0.0
2000-03-23,1.5873
2000-03-24,-1.0417
2000-03-27,0.0
2000-03-28,-1.5789
2000-03-29,-0.8021
2000-03-30,2.965
2000-03-31,0.2618
2000-04-03,-1.3054999999999999
2000-04-04,-2.9101
2000-04-05,1.9074
2000-04-06,4.8128
2000-04-07,-1.7856999999999998
2000-04-10,0.7792
2000-04-11,-0.5155
2000-04-12,0.2591
2000-04-13,0.2584
2000-04-14,-1.0309
2000-04-17,0.5208
2000-04-18,-0.5181
2000-04-19,-4.6875
2000-04-20,0.5464
2000-04-24,5.4348
2000-04-25,-2.5773
2000-04-26,-1.5873
2000-04-27,0.2688
2000-04-28,1.0724
2000-05-01,0.0
2000-05-02,-3.4483
2000-05-03,-1.9231
2000-05-04,3.9215999999999998
2000-05-05,0.0
2000-05-08,-0.8086
2000-05-09,6.25
2000-05-10,0.2558
2000-05-11,-3.0612
2000-05-12,2.6316
2000-05-15,0.5128
2000-05-16,2.0408
2000-05-17,-4.5
2000-05-18,-2.6178
2000-05-19,-1.0753
2000-05-22,7.6087
2000-05-23,-2.3359
